"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.956499870925776,2,2,1,2,"1;2","s5WwaeqK",0,1,NA,0,1,3
2,1.06518866723734,2,3,1,5,"1;2","s5WwaeqK",0,1,NA,0,1,3
3,0.767019178014699,2,0,1,5,"1;2","s5WwaeqK",0,1,NA,0,1,3
4,0.948943750484734,2,3,1,8,"1;2","s5WwaeqK",0,1,NA,0,1,3
5,1.02042000389647,2,6,1,14,"1;2","s5WwaeqK",0,1,NA,0,1,3
6,0.860037123123555,1,3,1,17,"1;2","s5WwaeqK",0,1,NA,0,1,3
7,0.5,1,9,1,26,"1;2","s5WwaeqK",0,1,NA,0,1,3
8,1.0227693308279,2,4,1,30,"1;2","s5WwaeqK",0,1,NA,0,1,3
9,0.912111201352812,2,4,1,34,"1;2","s5WwaeqK",0,1,NA,0,1,3
10,0.84345286253163,2,1,1,35,"1;2","s5WwaeqK",0,1,NA,0,1,3
11,1.1445370895598,2,2,1,37,"1;2","s5WwaeqK",0,1,NA,0,1,3
12,1.11716933968586,2,5,1,42,"1;2","s5WwaeqK",0,1,NA,0,1,3
13,0.668101802575306,2,2,1,44,"1;2","s5WwaeqK",0,1,NA,0,1,3
14,0.969027756698206,2,6,1,50,"1;2","s5WwaeqK",0,1,NA,0,1,3
15,0.660684368679318,1,3,1,53,"1;2","s5WwaeqK",0,1,NA,0,1,3
16,0.7139567319656,2,3,1,56,"1;2","s5WwaeqK",0,1,NA,0,1,3
17,0.544446674685721,2,3,1,59,"1;2","s5WwaeqK",0,1,NA,0,1,3
18,1.22102548029912,2,3,1,62,"1;2","s5WwaeqK",0,1,NA,0,1,3
19,1.1237732497759,2,4,1,66,"1;2","s5WwaeqK",0,1,NA,0,1,3
20,1.0314490807867,2,4,1,70,"1;2","s5WwaeqK",0,1,NA,0,1,3
1,0.5,2,-5,2,-5,"1;2","s5WwaeqK",0,1,NA,0,1,3
2,0.981985541919921,1,3,2,-2,"1;2","s5WwaeqK",0,1,NA,0,1,3
3,0.935648501411154,1,8,2,6,"1;2","s5WwaeqK",0,1,NA,0,1,3
4,0.670137390388543,1,4,2,10,"1;2","s5WwaeqK",0,1,NA,0,1,3
5,0.948871384151958,1,3,2,13,"1;2","s5WwaeqK",0,1,NA,0,1,3
6,0.707084605865806,1,-2,2,11,"1;2","s5WwaeqK",0,1,NA,0,1,3
7,0.74188451057926,1,0,2,11,"1;2","s5WwaeqK",0,1,NA,0,1,3
8,1.08632659066002,1,3,2,14,"1;2","s5WwaeqK",0,1,NA,0,1,3
9,0.838516517615772,2,-3,2,11,"1;2","s5WwaeqK",0,1,NA,0,1,3
10,1.20609253846702,2,9,2,20,"1;2","s5WwaeqK",0,1,NA,0,1,3
11,0.5,1,3,2,23,"1;2","s5WwaeqK",0,1,NA,0,1,3
12,0.823121227696329,1,6,2,29,"1;2","s5WwaeqK",0,1,NA,0,1,3
13,1.00302543593362,1,5,2,34,"1;2","s5WwaeqK",0,1,NA,0,1,3
14,0.511112215746779,1,1,2,35,"1;2","s5WwaeqK",0,1,NA,0,1,3
15,0.546276022784484,1,4,2,39,"1;2","s5WwaeqK",0,1,NA,0,1,3
16,0.700534205760577,1,6,2,45,"1;2","s5WwaeqK",0,1,NA,0,1,3
17,0.75441580788791,1,5,2,50,"1;2","s5WwaeqK",0,1,NA,0,1,3
18,0.540394995040284,1,10,2,60,"1;2","s5WwaeqK",0,1,NA,0,1,3
19,1.00631438103267,1,3,2,63,"1;2","s5WwaeqK",0,1,NA,0,1,3
20,0.944245998890156,1,7,2,70,"1;2","s5WwaeqK",0,1,NA,0,1,3
21,0.5,1,5,2,75,"1;2","s5WwaeqK",0,1,NA,0,1,3
22,0.753534647771538,1,5,2,80,"1;2","s5WwaeqK",0,1,NA,0,1,3
23,1.08334981795048,1,1,2,81,"1;2","s5WwaeqK",0,1,NA,0,1,3
