"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.846204732147285,2,2,1,2,"1;2","sz8Levsc",0,2,NA,0,0.73,2
2,0.5,1,0,1,2,"1;2","sz8Levsc",0,2,NA,0,0.73,2
3,0.635521745427514,1,1,1,3,"1;2","sz8Levsc",0,2,NA,0,0.73,2
4,0.891823928852436,2,4,1,7,"1;2","sz8Levsc",0,2,NA,0,0.73,2
5,0.602858427705213,2,-3,1,4,"1;2","sz8Levsc",0,2,NA,0,0.73,2
6,1.31081367170232,2,3,1,7,"1;2","sz8Levsc",0,2,NA,0,0.73,2
7,0.854488008433477,2,6,1,13,"1;2","sz8Levsc",0,2,NA,0,0.73,2
8,0.89620770526458,2,1,1,14,"1;2","sz8Levsc",0,2,NA,0,0.73,2
9,0.770362320671794,2,1,1,15,"1;2","sz8Levsc",0,2,NA,0,0.73,2
10,0.556204266440589,1,5,1,20,"1;2","sz8Levsc",0,2,NA,0,0.73,2
11,0.568461129767431,2,4,1,24,"1;2","sz8Levsc",0,2,NA,0,0.73,2
12,0.67391916256756,1,1,1,25,"1;2","sz8Levsc",0,2,NA,0,0.73,2
13,0.564400722951378,2,2,1,27,"1;2","sz8Levsc",0,2,NA,0,0.73,2
14,0.644170776732222,2,2,1,29,"1;2","sz8Levsc",0,2,NA,0,0.73,2
15,0.564231508991354,2,4,1,33,"1;2","sz8Levsc",0,2,NA,0,0.73,2
16,0.732662673064367,2,1,1,34,"1;2","sz8Levsc",0,2,NA,0,0.73,2
17,1.03950107835482,2,4,1,38,"1;2","sz8Levsc",0,2,NA,0,0.73,2
18,0.963706900621871,2,2,1,40,"1;2","sz8Levsc",0,2,NA,0,0.73,2
19,0.681396185024911,1,0,1,40,"1;2","sz8Levsc",0,2,NA,0,0.73,2
20,0.592125832925872,1,5,1,45,"1;2","sz8Levsc",0,2,NA,0,0.73,2
1,0.5,2,-4,2,-4,"1;2","sz8Levsc",0,2,NA,0,0.73,2
