"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.659800960679619,2,1,1,1,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
2,0.592551090720146,2,5,1,6,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
3,1.13636894347633,2,2,1,8,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
4,0.713356862955975,2,3,1,11,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
5,1.02487628701976,2,4,1,15,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
6,1.13113297063632,2,2,1,17,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
7,0.5,2,3,1,20,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
8,0.5,2,1,1,21,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
9,0.985252423059594,2,3,1,24,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
10,0.713787423931772,2,7,1,31,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
11,0.5,2,1,1,32,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
12,0.880982118152149,2,1,1,33,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
13,1.08182931692103,2,6,1,39,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
14,0.769269791729649,2,4,1,43,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
15,0.815746543307855,2,2,1,45,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
16,1.17468402763219,2,2,1,47,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
17,0.927442279017754,2,1,1,48,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
18,0.5,2,3,1,51,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
19,1.30112361229038,2,1,1,52,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
20,0.5,2,4,1,56,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
1,0.623089879997355,1,8,2,8,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
2,0.681794508375593,1,6,2,14,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
3,0.962494237681976,1,3,2,17,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
4,0.714480567243052,1,7,2,24,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
5,0.975825006427375,1,10,2,34,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
6,0.606331826693994,1,2,2,36,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
7,1.09674164827094,1,6,2,42,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
8,1.16797593980823,1,5,2,47,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
9,0.863708911584163,1,3,2,50,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
10,0.617045368244382,1,0,2,50,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
11,0.740845530754378,1,2,2,52,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
12,0.5,1,4,2,56,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
13,0.843452834695443,1,3,2,59,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
14,0.5,1,1,2,60,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
15,0.933690453648605,1,4,2,64,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
16,0.5,1,0,2,64,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
17,0.787657355328245,1,2,2,66,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
18,0.958077646796953,1,4,2,70,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
19,1.06006114015732,2,-7,2,63,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
20,0.876678467783388,1,4,2,67,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
21,1.05162492748538,1,5,2,72,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
22,0.619113882967805,1,10,2,82,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
23,0.813218816467144,1,0,2,82,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
24,0.682832272148352,1,4,2,86,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
25,0.872040806814504,1,6,2,92,"1;2","t9HSVqZI",0,1,NA,1,0.92,1
