"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.09248617720382,1,1,1,1,"2;1","tEoyzsnM",100,5,3,0,0.6,2
2,0.721159718479833,2,5,1,6,"2;1","tEoyzsnM",100,5,3,0,0.6,2
3,0.67352003219853,2,6,1,12,"2;1","tEoyzsnM",100,5,3,0,0.6,2
4,0.644622371602765,1,-1,1,11,"2;1","tEoyzsnM",100,5,3,0,0.6,2
5,1.08465499006388,2,7,1,18,"2;1","tEoyzsnM",100,5,3,0,0.6,2
6,0.579022140558056,1,1,1,19,"2;1","tEoyzsnM",100,5,3,0,0.6,2
7,0.520462602671146,2,6,1,25,"2;1","tEoyzsnM",100,5,3,0,0.6,2
8,0.5,1,0,1,25,"2;1","tEoyzsnM",100,5,3,0,0.6,2
9,1.07954907823783,1,1,1,26,"2;1","tEoyzsnM",100,5,3,0,0.6,2
10,0.5,2,3,1,29,"2;1","tEoyzsnM",100,5,3,0,0.6,2
11,1.01910232468737,1,4,1,33,"2;1","tEoyzsnM",100,5,3,0,0.6,2
12,0.962318238790261,1,0,1,33,"2;1","tEoyzsnM",100,5,3,0,0.6,2
13,1.08326434781225,1,4,1,37,"2;1","tEoyzsnM",100,5,3,0,0.6,2
14,0.545899530373799,2,5,1,42,"2;1","tEoyzsnM",100,5,3,0,0.6,2
15,0.5,1,3,1,45,"2;1","tEoyzsnM",100,5,3,0,0.6,2
16,0.754716925849593,2,1,1,46,"2;1","tEoyzsnM",100,5,3,0,0.6,2
17,0.974340296305921,1,5,1,51,"2;1","tEoyzsnM",100,5,3,0,0.6,2
18,0.895268569308214,2,3,1,54,"2;1","tEoyzsnM",100,5,3,0,0.6,2
19,0.797855269335012,1,7,1,61,"2;1","tEoyzsnM",100,5,3,0,0.6,2
20,0.948900950769299,2,4,1,65,"2;1","tEoyzsnM",100,5,3,0,0.6,2
1,0.79461223905814,2,6,2,6,"2;1","tEoyzsnM",100,5,3,0,0.6,2
2,0.599905417577112,2,5,2,11,"2;1","tEoyzsnM",100,5,3,0,0.6,2
3,1.01499628748389,2,5,2,16,"2;1","tEoyzsnM",100,5,3,0,0.6,2
4,0.995180406104343,1,17,2,33,"2;1","tEoyzsnM",100,5,3,0,0.6,2
5,0.697046666859332,2,3,2,36,"2;1","tEoyzsnM",100,5,3,0,0.6,2
6,0.509445836835861,1,0,2,36,"2;1","tEoyzsnM",100,5,3,0,0.6,2
7,0.988653278489933,2,7,2,43,"2;1","tEoyzsnM",100,5,3,0,0.6,2
8,0.976851768820576,2,4,2,47,"2;1","tEoyzsnM",100,5,3,0,0.6,2
9,0.966586735724855,1,27,2,74,"2;1","tEoyzsnM",100,5,3,0,0.6,2
10,0.735847099832192,1,-9,2,65,"2;1","tEoyzsnM",100,5,3,0,0.6,2
11,0.762952340981555,1,-8,2,57,"2;1","tEoyzsnM",100,5,3,0,0.6,2
12,0.782569887519142,2,2,2,59,"2;1","tEoyzsnM",100,5,3,0,0.6,2
13,0.562675758898681,2,9,2,68,"2;1","tEoyzsnM",100,5,3,0,0.6,2
14,0.512751387773907,1,13,2,81,"2;1","tEoyzsnM",100,5,3,0,0.6,2
15,0.526797477053515,1,7,2,88,"2;1","tEoyzsnM",100,5,3,0,0.6,2
16,0.857673767933078,2,4,2,92,"2;1","tEoyzsnM",100,5,3,0,0.6,2
17,0.692390865534967,2,1,2,93,"2;1","tEoyzsnM",100,5,3,0,0.6,2
18,0.611116194900181,1,6,2,99,"2;1","tEoyzsnM",100,5,3,0,0.6,2
19,0.977836567618203,1,-7,2,92,"2;1","tEoyzsnM",100,5,3,0,0.6,2
20,0.856733312748785,1,16,2,108,"2;1","tEoyzsnM",100,5,3,0,0.6,2
21,0.640536232774274,1,4,2,112,"2;1","tEoyzsnM",100,5,3,0,0.6,2
22,1.55479546456239,1,-1,2,111,"2;1","tEoyzsnM",100,5,3,0,0.6,2
23,0.871486239302203,2,2,2,113,"2;1","tEoyzsnM",100,5,3,0,0.6,2
24,0.5,2,7,2,120,"2;1","tEoyzsnM",100,5,3,0,0.6,2
25,0.954636296560495,1,-7,2,113,"2;1","tEoyzsnM",100,5,3,0,0.6,2
1,0.835407632830405,1,5,3,5,"2;1","tEoyzsnM",100,5,3,0,0.6,2
2,0.910650927266819,1,1,3,6,"2;1","tEoyzsnM",100,5,3,0,0.6,2
3,0.813404051201617,1,3,3,9,"2;1","tEoyzsnM",100,5,3,0,0.6,2
4,1.06757293850398,1,10,3,19,"2;1","tEoyzsnM",100,5,3,0,0.6,2
5,1.11865457753926,2,6,3,25,"2;1","tEoyzsnM",100,5,3,0,0.6,2
6,0.680661457421505,1,-10,3,15,"2;1","tEoyzsnM",100,5,3,0,0.6,2
7,0.597418657196275,2,3,3,18,"2;1","tEoyzsnM",100,5,3,0,0.6,2
8,0.841003955987202,1,1,3,19,"2;1","tEoyzsnM",100,5,3,0,0.6,2
9,0.776593318615868,2,6,3,25,"2;1","tEoyzsnM",100,5,3,0,0.6,2
10,0.5,2,0,3,25,"2;1","tEoyzsnM",100,5,3,0,0.6,2
11,0.544805543152319,1,-9,3,16,"2;1","tEoyzsnM",100,5,3,0,0.6,2
12,0.712399020567586,2,4,3,20,"2;1","tEoyzsnM",100,5,3,0,0.6,2
