"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.801464742641658,1,4,1,4,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
2,0.889900121814166,1,4,1,8,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
3,1.09428930881227,1,4,1,12,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
4,0.825273826287642,1,2,1,14,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
5,0.732611499910408,1,1,1,15,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
6,0.801192000044205,1,-1,1,14,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
7,1.22602938401987,2,7,1,21,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
8,1.00844975453508,1,1,1,22,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
9,0.5,1,3,1,25,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
10,0.589054460473264,1,3,1,28,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
11,0.670728595554528,2,2,1,30,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
12,0.53017735575049,1,4,1,34,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
13,0.91961403826429,2,7,1,41,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
14,0.885704009493743,2,5,1,46,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
15,1.28649592460736,1,-2,1,44,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
16,0.982572982339031,1,2,1,46,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
17,0.795214660303354,2,2,1,48,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
18,1.24684206999136,2,4,1,52,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
19,0.678950515761883,1,4,1,56,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
20,0.627354110562031,2,4,1,60,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
1,0.627217605131439,2,-7,2,-7,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
2,1.01292355257416,1,3,2,-4,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
3,1.1216766231135,1,5,2,1,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
4,0.636234350252533,1,3,2,4,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
5,0.528155473357423,1,3,2,7,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
6,1.07530405339584,2,-1,2,6,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
7,1.0260155945261,2,-14,2,-8,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
8,0.612543647682848,2,20,2,12,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
9,0.895744185865184,1,5,2,17,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
10,1.04445547262319,1,6,2,23,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
11,1.26240370729748,1,5,2,28,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
12,1.22183448616365,2,4,2,32,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
13,0.556449452636629,2,8,2,40,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
14,0.571785271706412,1,1,2,41,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
15,0.854893871119548,1,1,2,42,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
16,0.5,1,5,2,47,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
17,0.64446266635333,1,7,2,54,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
18,0.932250856070027,1,4,2,58,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
19,0.814984579767134,1,4,2,62,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
20,1.20380775480468,2,-6,2,56,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
21,0.843386788487159,1,3,2,59,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
22,1.02138319970462,1,3,2,62,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
23,1.13484578565482,1,7,2,69,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
24,0.833803538083032,1,4,2,73,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
25,0.5,2,12,2,85,"1;2","tZMZsiVE",0,1,NA,2,0.94,1
1,0.787065253659971,2,5,3,5,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
2,1.13291374608491,1,-14,3,-9,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
3,1.13941200078135,1,3,3,-6,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
4,0.861392805172119,2,2,3,-4,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
5,0.84525565985632,2,3,3,-1,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
6,0.875904235270958,1,4,3,3,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
7,0.912604705839627,1,1,3,4,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
8,0.802036754024616,2,4,3,8,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
9,1.07121855444428,1,-11,3,-3,"2;1","tZMZsiVE",0,1,NA,2,0.94,1
