"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.638523253950158,1,0,1,0,"1;2","thLaFhjy",0,3,NA,1,0.77,2
2,1.32577998245896,1,2,1,2,"1;2","thLaFhjy",0,3,NA,1,0.77,2
3,0.652758549486976,1,5,1,7,"1;2","thLaFhjy",0,3,NA,1,0.77,2
4,1.25915911988662,1,6,1,13,"1;2","thLaFhjy",0,3,NA,1,0.77,2
5,0.798344357502571,1,2,1,15,"1;2","thLaFhjy",0,3,NA,1,0.77,2
6,0.512057721327373,1,3,1,18,"1;2","thLaFhjy",0,3,NA,1,0.77,2
7,0.650243972624811,1,1,1,19,"1;2","thLaFhjy",0,3,NA,1,0.77,2
8,0.731192770466702,1,4,1,23,"1;2","thLaFhjy",0,3,NA,1,0.77,2
9,1.02215077068967,1,0,1,23,"1;2","thLaFhjy",0,3,NA,1,0.77,2
10,0.791167416674195,1,2,1,25,"1;2","thLaFhjy",0,3,NA,1,0.77,2
11,1.04435363276323,1,1,1,26,"1;2","thLaFhjy",0,3,NA,1,0.77,2
12,1.28533237472079,1,3,1,29,"1;2","thLaFhjy",0,3,NA,1,0.77,2
13,1.18835774363281,1,0,1,29,"1;2","thLaFhjy",0,3,NA,1,0.77,2
14,0.706614471714621,1,0,1,29,"1;2","thLaFhjy",0,3,NA,1,0.77,2
15,0.5,1,3,1,32,"1;2","thLaFhjy",0,3,NA,1,0.77,2
16,0.94482887681963,1,4,1,36,"1;2","thLaFhjy",0,3,NA,1,0.77,2
17,0.874016993402443,1,4,1,40,"1;2","thLaFhjy",0,3,NA,1,0.77,2
18,0.757286915305463,1,1,1,41,"1;2","thLaFhjy",0,3,NA,1,0.77,2
19,0.594872342743654,1,3,1,44,"1;2","thLaFhjy",0,3,NA,1,0.77,2
20,0.660169616580278,1,5,1,49,"1;2","thLaFhjy",0,3,NA,1,0.77,2
1,0.5,1,25,2,25,"2;1","thLaFhjy",0,3,NA,1,0.77,2
2,0.547376414512002,1,16,2,41,"2;1","thLaFhjy",0,3,NA,1,0.77,2
3,1.18719809307765,1,31,2,72,"2;1","thLaFhjy",0,3,NA,1,0.77,2
4,0.785318855866256,1,-12,2,60,"2;1","thLaFhjy",0,3,NA,1,0.77,2
5,0.855040550597697,1,-11,2,49,"2;1","thLaFhjy",0,3,NA,1,0.77,2
6,0.821702673250441,1,-2,2,47,"2;1","thLaFhjy",0,3,NA,1,0.77,2
7,0.86504786590824,1,3,2,50,"2;1","thLaFhjy",0,3,NA,1,0.77,2
8,1.00039465130825,1,5,2,55,"2;1","thLaFhjy",0,3,NA,1,0.77,2
9,0.5,1,14,2,69,"2;1","thLaFhjy",0,3,NA,1,0.77,2
10,1.12396927127428,1,-1,2,68,"2;1","thLaFhjy",0,3,NA,1,0.77,2
11,1.01017815839297,1,27,2,95,"2;1","thLaFhjy",0,3,NA,1,0.77,2
12,0.673496843318044,1,-3,2,92,"2;1","thLaFhjy",0,3,NA,1,0.77,2
13,0.901873105535431,1,33,2,125,"2;1","thLaFhjy",0,3,NA,1,0.77,2
14,0.659192839580292,1,2,2,127,"2;1","thLaFhjy",0,3,NA,1,0.77,2
15,1.17839270096982,1,5,2,132,"2;1","thLaFhjy",0,3,NA,1,0.77,2
16,0.578461668683496,2,4,2,136,"2;1","thLaFhjy",0,3,NA,1,0.77,2
17,0.817770668459887,1,-11,2,125,"2;1","thLaFhjy",0,3,NA,1,0.77,2
18,0.717627623788628,1,16,2,141,"2;1","thLaFhjy",0,3,NA,1,0.77,2
19,1.05073872422387,1,5,2,146,"2;1","thLaFhjy",0,3,NA,1,0.77,2
20,0.5,1,-4,2,142,"2;1","thLaFhjy",0,3,NA,1,0.77,2
21,0.747337576575775,1,16,2,158,"2;1","thLaFhjy",0,3,NA,1,0.77,2
22,0.736293199279133,1,5,2,163,"2;1","thLaFhjy",0,3,NA,1,0.77,2
23,0.885198557858055,1,24,2,187,"2;1","thLaFhjy",0,3,NA,1,0.77,2
24,1.06996212157159,1,23,2,210,"2;1","thLaFhjy",0,3,NA,1,0.77,2
25,1.03731625674771,1,-2,2,208,"2;1","thLaFhjy",0,3,NA,1,0.77,2
1,0.876463161336656,1,7,3,7,"1;2","thLaFhjy",0,3,NA,1,0.77,2
2,1.00939032647377,1,8,3,15,"1;2","thLaFhjy",0,3,NA,1,0.77,2
3,0.680997241696934,1,0,3,15,"1;2","thLaFhjy",0,3,NA,1,0.77,2
4,0.627208351569847,1,1,3,16,"1;2","thLaFhjy",0,3,NA,1,0.77,2
5,0.588409743387744,1,2,3,18,"1;2","thLaFhjy",0,3,NA,1,0.77,2
6,0.635391717060907,1,3,3,21,"1;2","thLaFhjy",0,3,NA,1,0.77,2
7,1.19959438802766,1,5,3,26,"1;2","thLaFhjy",0,3,NA,1,0.77,2
8,1.10770076248958,1,5,3,31,"1;2","thLaFhjy",0,3,NA,1,0.77,2
9,0.5,1,2,3,33,"1;2","thLaFhjy",0,3,NA,1,0.77,2
10,0.893666760416722,1,3,3,36,"1;2","thLaFhjy",0,3,NA,1,0.77,2
11,1.006750627275,1,2,3,38,"1;2","thLaFhjy",0,3,NA,1,0.77,2
12,1.05506667453544,1,2,3,40,"1;2","thLaFhjy",0,3,NA,1,0.77,2
13,0.92809249380942,1,8,3,48,"1;2","thLaFhjy",0,3,NA,1,0.77,2
14,0.5,1,5,3,53,"1;2","thLaFhjy",0,3,NA,1,0.77,2
15,1.0304044978257,1,2,3,55,"1;2","thLaFhjy",0,3,NA,1,0.77,2
16,0.921841253098722,1,4,3,59,"1;2","thLaFhjy",0,3,NA,1,0.77,2
17,0.5,1,-2,3,57,"1;2","thLaFhjy",0,3,NA,1,0.77,2
18,0.5,1,-1,3,56,"1;2","thLaFhjy",0,3,NA,1,0.77,2
19,0.53764924076598,1,7,3,63,"1;2","thLaFhjy",0,3,NA,1,0.77,2
20,0.5,1,3,3,66,"1;2","thLaFhjy",0,3,NA,1,0.77,2
21,0.7253782009687,1,1,3,67,"1;2","thLaFhjy",0,3,NA,1,0.77,2
22,0.851677019669172,1,0,3,67,"1;2","thLaFhjy",0,3,NA,1,0.77,2
23,0.95205219158593,1,4,3,71,"1;2","thLaFhjy",0,3,NA,1,0.77,2
24,1.18124562884032,1,3,3,74,"1;2","thLaFhjy",0,3,NA,1,0.77,2
25,0.876512797945315,1,4,3,78,"1;2","thLaFhjy",0,3,NA,1,0.77,2
1,0.693968755404019,2,-1,4,-1,"1;2","thLaFhjy",0,3,NA,1,0.77,2
2,0.799150173428437,1,3,4,2,"1;2","thLaFhjy",0,3,NA,1,0.77,2
3,0.5,1,2,4,4,"1;2","thLaFhjy",0,3,NA,1,0.77,2
4,1.0727546124471,1,1,4,5,"1;2","thLaFhjy",0,3,NA,1,0.77,2
5,0.973575405173079,1,5,4,10,"1;2","thLaFhjy",0,3,NA,1,0.77,2
6,0.871176745334963,1,2,4,12,"1;2","thLaFhjy",0,3,NA,1,0.77,2
7,0.505016103092706,1,3,4,15,"1;2","thLaFhjy",0,3,NA,1,0.77,2
8,0.677741275496735,1,3,4,18,"1;2","thLaFhjy",0,3,NA,1,0.77,2
9,0.540652345429114,1,3,4,21,"1;2","thLaFhjy",0,3,NA,1,0.77,2
10,0.662829075376512,1,3,4,24,"1;2","thLaFhjy",0,3,NA,1,0.77,2
11,0.664019096680681,1,4,4,28,"1;2","thLaFhjy",0,3,NA,1,0.77,2
12,0.605732240467685,1,2,4,30,"1;2","thLaFhjy",0,3,NA,1,0.77,2
13,0.668494830034811,1,7,4,37,"1;2","thLaFhjy",0,3,NA,1,0.77,2
