"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.01284922166141,1,4,1,4,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
2,1.28591912506566,1,4,1,8,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
3,1.36130840681475,1,6,1,14,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
4,0.652417197204623,1,6,1,20,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
5,0.692729747916167,1,4,1,24,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
6,0.990255498341666,1,4,1,28,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
7,0.5,1,4,1,32,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
8,0.862888266334129,1,0,1,32,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
9,1.21886041433299,1,1,1,33,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
10,1.07090406371525,1,4,1,37,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
11,0.5,1,2,1,39,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
12,0.637406241680835,1,3,1,42,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
13,1.0339458227002,1,4,1,46,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
14,0.6750392292186,1,6,1,52,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
15,0.5,1,2,1,54,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
16,0.5,1,6,1,60,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
17,0.73636127594227,1,4,1,64,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
18,0.935719231031197,1,5,1,69,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
19,1.06233939724392,1,5,1,74,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
20,0.769816507790174,1,1,1,75,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
1,0.5,2,4,2,4,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
2,0.9074655422315,2,4,2,8,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
3,0.5,2,2,2,10,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
4,0.846918786446343,2,0,2,10,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
5,0.719375115498927,2,4,2,14,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
6,0.631341821796592,2,1,2,15,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
7,0.5,2,5,2,20,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
8,0.778144755458499,2,1,2,21,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
9,0.68244059720481,2,6,2,27,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
10,0.816336204484039,2,3,2,30,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
11,0.685866230226794,2,6,2,36,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
12,1.13330083522228,2,4,2,40,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
13,0.864335583650074,1,-2,2,38,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
14,0.669369906561754,2,3,2,41,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
15,0.5,2,5,2,46,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
16,0.617974508029951,2,4,2,50,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
17,0.654516987908057,1,-17,2,33,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
18,0.662758813292568,2,6,2,39,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
19,1.00405915787087,2,6,2,45,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
20,0.654303478894439,2,5,2,50,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
21,0.696414064404053,2,8,2,58,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
22,0.5,2,3,2,61,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
23,0.545426637393041,2,4,2,65,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
24,1.08059356156111,2,0,2,65,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
25,0.891550646269048,2,4,2,69,"2;1","u9cb4vVJ",0,1,NA,0,1.03,3
1,0.65121389846615,1,3,3,3,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
2,0.723999185300537,1,1,3,4,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
3,0.85563020976929,2,11,3,15,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
4,0.936577366382817,2,3,3,18,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
5,1.30661970222027,2,0,3,18,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
6,0.59742272709894,2,8,3,26,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
7,0.669886896854336,2,9,3,35,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
8,0.577099505132042,2,-1,3,34,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
9,1.12713139861907,2,-10,3,24,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
10,0.978368818918095,1,0,3,24,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
11,1.18964267675369,1,6,3,30,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
12,0.617950716500691,1,7,3,37,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
13,0.740302712538614,1,4,3,41,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
14,0.974669267703592,1,6,3,47,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
15,0.671805321558188,1,5,3,52,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
16,0.5,1,4,3,56,"1;2","u9cb4vVJ",0,1,NA,0,1.03,3
