"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.00030339278838,2,1,1,1,"1;2","uAH3RPWS",100,4,6,0,1.2,3
2,0.899379680558792,2,4,1,5,"1;2","uAH3RPWS",100,4,6,0,1.2,3
3,0.728288653222705,2,6,1,11,"1;2","uAH3RPWS",100,4,6,0,1.2,3
4,0.957041551792633,1,2,1,13,"1;2","uAH3RPWS",100,4,6,0,1.2,3
5,0.5,1,4,1,17,"1;2","uAH3RPWS",100,4,6,0,1.2,3
6,0.647251419478837,2,0,1,17,"1;2","uAH3RPWS",100,4,6,0,1.2,3
7,0.5,1,4,1,21,"1;2","uAH3RPWS",100,4,6,0,1.2,3
8,0.537381182818388,1,3,1,24,"1;2","uAH3RPWS",100,4,6,0,1.2,3
9,0.981490489962474,1,4,1,28,"1;2","uAH3RPWS",100,4,6,0,1.2,3
10,0.844900019604761,1,5,1,33,"1;2","uAH3RPWS",100,4,6,0,1.2,3
11,0.5,1,2,1,35,"1;2","uAH3RPWS",100,4,6,0,1.2,3
12,0.512511068572357,1,4,1,39,"1;2","uAH3RPWS",100,4,6,0,1.2,3
13,0.647334611162303,2,4,1,43,"1;2","uAH3RPWS",100,4,6,0,1.2,3
14,1.12599128332286,1,-1,1,42,"1;2","uAH3RPWS",100,4,6,0,1.2,3
15,0.924916256987004,2,1,1,43,"1;2","uAH3RPWS",100,4,6,0,1.2,3
16,0.904927917150086,2,0,1,43,"1;2","uAH3RPWS",100,4,6,0,1.2,3
17,0.686661205505802,1,3,1,46,"1;2","uAH3RPWS",100,4,6,0,1.2,3
18,0.529172341908905,1,1,1,47,"1;2","uAH3RPWS",100,4,6,0,1.2,3
19,0.633287578861792,2,1,1,48,"1;2","uAH3RPWS",100,4,6,0,1.2,3
20,0.660024372241007,1,4,1,52,"1;2","uAH3RPWS",100,4,6,0,1.2,3
1,1.10880851481852,2,-1,2,-1,"2;1","uAH3RPWS",100,4,6,0,1.2,3
2,0.5,2,2,2,1,"2;1","uAH3RPWS",100,4,6,0,1.2,3
3,0.778358198425538,1,3,2,4,"2;1","uAH3RPWS",100,4,6,0,1.2,3
4,0.5,1,6,2,10,"2;1","uAH3RPWS",100,4,6,0,1.2,3
5,0.679007865498724,2,10,2,20,"2;1","uAH3RPWS",100,4,6,0,1.2,3
6,1.02222795988539,1,-2,2,18,"2;1","uAH3RPWS",100,4,6,0,1.2,3
7,0.908484541219978,1,6,2,24,"2;1","uAH3RPWS",100,4,6,0,1.2,3
8,0.881573003994488,2,7,2,31,"2;1","uAH3RPWS",100,4,6,0,1.2,3
9,0.749978978772481,1,0,2,31,"2;1","uAH3RPWS",100,4,6,0,1.2,3
10,0.69324054218453,2,2,2,33,"2;1","uAH3RPWS",100,4,6,0,1.2,3
11,0.969309029443695,2,5,2,38,"2;1","uAH3RPWS",100,4,6,0,1.2,3
12,0.769142163392106,1,8,2,46,"2;1","uAH3RPWS",100,4,6,0,1.2,3
13,1.12403198516478,2,6,2,52,"2;1","uAH3RPWS",100,4,6,0,1.2,3
14,0.900715880412521,1,3,2,55,"2;1","uAH3RPWS",100,4,6,0,1.2,3
15,1.1091509178879,1,13,2,68,"2;1","uAH3RPWS",100,4,6,0,1.2,3
16,0.982698321973685,1,-4,2,64,"2;1","uAH3RPWS",100,4,6,0,1.2,3
17,1.06629550121884,1,-8,2,56,"2;1","uAH3RPWS",100,4,6,0,1.2,3
18,0.7905244135212,2,-1,2,55,"2;1","uAH3RPWS",100,4,6,0,1.2,3
19,0.699052448211693,2,6,2,61,"2;1","uAH3RPWS",100,4,6,0,1.2,3
20,0.892245968866631,1,1,2,62,"2;1","uAH3RPWS",100,4,6,0,1.2,3
21,1.09339334762938,2,6,2,68,"2;1","uAH3RPWS",100,4,6,0,1.2,3
22,0.523276305873515,2,6,2,74,"2;1","uAH3RPWS",100,4,6,0,1.2,3
23,0.772651257089157,2,6,2,80,"2;1","uAH3RPWS",100,4,6,0,1.2,3
24,0.523678959260999,2,4,2,84,"2;1","uAH3RPWS",100,4,6,0,1.2,3
25,0.709964803618726,1,3,2,87,"2;1","uAH3RPWS",100,4,6,0,1.2,3
1,0.567138194401536,2,5,3,5,"2;1","uAH3RPWS",100,4,6,0,1.2,3
2,0.692581519199219,1,6,3,11,"2;1","uAH3RPWS",100,4,6,0,1.2,3
3,0.588563357219193,2,2,3,13,"2;1","uAH3RPWS",100,4,6,0,1.2,3
4,0.5,1,19,3,32,"2;1","uAH3RPWS",100,4,6,0,1.2,3
5,1.04412119133124,2,3,3,35,"2;1","uAH3RPWS",100,4,6,0,1.2,3
6,1.0159154583149,1,13,3,48,"2;1","uAH3RPWS",100,4,6,0,1.2,3
7,0.642367290886683,2,9,3,57,"2;1","uAH3RPWS",100,4,6,0,1.2,3
8,1.16393906183091,1,-19,3,38,"2;1","uAH3RPWS",100,4,6,0,1.2,3
9,0.775770744345758,1,9,3,47,"2;1","uAH3RPWS",100,4,6,0,1.2,3
10,0.570493305865803,1,5,3,52,"2;1","uAH3RPWS",100,4,6,0,1.2,3
11,0.857998392858479,1,16,3,68,"2;1","uAH3RPWS",100,4,6,0,1.2,3
12,0.567472060827124,2,3,3,71,"2;1","uAH3RPWS",100,4,6,0,1.2,3
13,0.645674471645561,1,12,3,83,"2;1","uAH3RPWS",100,4,6,0,1.2,3
14,0.997723581456754,2,5,3,88,"2;1","uAH3RPWS",100,4,6,0,1.2,3
15,0.56430229516345,1,9,3,97,"2;1","uAH3RPWS",100,4,6,0,1.2,3
16,0.5,1,12,3,109,"2;1","uAH3RPWS",100,4,6,0,1.2,3
17,0.611152558443479,2,9,3,118,"2;1","uAH3RPWS",100,4,6,0,1.2,3
18,1.01993929302732,2,0,3,118,"2;1","uAH3RPWS",100,4,6,0,1.2,3
19,0.957940445225099,1,29,3,147,"2;1","uAH3RPWS",100,4,6,0,1.2,3
20,0.505568926365411,2,2,3,149,"2;1","uAH3RPWS",100,4,6,0,1.2,3
21,0.614362062685545,2,5,3,154,"2;1","uAH3RPWS",100,4,6,0,1.2,3
22,1.02726120693308,1,3,3,157,"2;1","uAH3RPWS",100,4,6,0,1.2,3
