"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.0359768916981,2,4,1,4,"2;1","uKh56TKD",0,1,NA,0,1.01,3
2,0.801685364834559,1,2,1,6,"2;1","uKh56TKD",0,1,NA,0,1.01,3
3,0.648476713313696,1,0,1,6,"2;1","uKh56TKD",0,1,NA,0,1.01,3
4,0.963321302831147,2,2,1,8,"2;1","uKh56TKD",0,1,NA,0,1.01,3
5,0.719969106991421,2,4,1,12,"2;1","uKh56TKD",0,1,NA,0,1.01,3
6,0.509442061342992,2,6,1,18,"2;1","uKh56TKD",0,1,NA,0,1.01,3
7,0.5,1,3,1,21,"2;1","uKh56TKD",0,1,NA,0,1.01,3
8,1.21229401051656,2,4,1,25,"2;1","uKh56TKD",0,1,NA,0,1.01,3
9,0.765609979262372,2,4,1,29,"2;1","uKh56TKD",0,1,NA,0,1.01,3
10,1.34516548313259,2,4,1,33,"2;1","uKh56TKD",0,1,NA,0,1.01,3
11,1.16720662741761,1,3,1,36,"2;1","uKh56TKD",0,1,NA,0,1.01,3
12,0.951256280956585,2,5,1,41,"2;1","uKh56TKD",0,1,NA,0,1.01,3
13,0.907568889272303,1,0,1,41,"2;1","uKh56TKD",0,1,NA,0,1.01,3
14,0.841754070960935,2,2,1,43,"2;1","uKh56TKD",0,1,NA,0,1.01,3
15,0.564061791157171,1,3,1,46,"2;1","uKh56TKD",0,1,NA,0,1.01,3
16,0.909741089339841,2,6,1,52,"2;1","uKh56TKD",0,1,NA,0,1.01,3
17,0.724166804571191,2,4,1,56,"2;1","uKh56TKD",0,1,NA,0,1.01,3
18,0.825737889776131,2,2,1,58,"2;1","uKh56TKD",0,1,NA,0,1.01,3
19,0.5,2,2,1,60,"2;1","uKh56TKD",0,1,NA,0,1.01,3
20,0.652620345000209,1,4,1,64,"2;1","uKh56TKD",0,1,NA,0,1.01,3
1,1.1662715288482,1,-3,2,-3,"2;1","uKh56TKD",0,1,NA,0,1.01,3
2,0.5,2,-1,2,-4,"2;1","uKh56TKD",0,1,NA,0,1.01,3
3,0.837228575780108,2,2,2,-2,"2;1","uKh56TKD",0,1,NA,0,1.01,3
4,0.660567748031792,1,9,2,7,"2;1","uKh56TKD",0,1,NA,0,1.01,3
5,0.957914547956915,1,15,2,22,"2;1","uKh56TKD",0,1,NA,0,1.01,3
6,0.551158548987061,2,4,2,26,"2;1","uKh56TKD",0,1,NA,0,1.01,3
7,1.18506714962088,1,2,2,28,"2;1","uKh56TKD",0,1,NA,0,1.01,3
8,0.5,2,4,2,32,"2;1","uKh56TKD",0,1,NA,0,1.01,3
9,1.19586210331343,1,-6,2,26,"2;1","uKh56TKD",0,1,NA,0,1.01,3
10,0.968106129453974,2,3,2,29,"2;1","uKh56TKD",0,1,NA,0,1.01,3
11,0.579080211870499,2,8,2,37,"2;1","uKh56TKD",0,1,NA,0,1.01,3
12,0.749019156771547,2,3,2,40,"2;1","uKh56TKD",0,1,NA,0,1.01,3
13,0.536910399402648,1,15,2,55,"2;1","uKh56TKD",0,1,NA,0,1.01,3
14,0.50319424995294,1,19,2,74,"2;1","uKh56TKD",0,1,NA,0,1.01,3
15,0.709974952409126,2,2,2,76,"2;1","uKh56TKD",0,1,NA,0,1.01,3
16,0.71346471436185,2,9,2,85,"2;1","uKh56TKD",0,1,NA,0,1.01,3
17,0.615688173693414,2,4,2,89,"2;1","uKh56TKD",0,1,NA,0,1.01,3
18,0.605499724106569,2,3,2,92,"2;1","uKh56TKD",0,1,NA,0,1.01,3
19,0.84427051798016,1,6,2,98,"2;1","uKh56TKD",0,1,NA,0,1.01,3
20,0.893773511739573,2,4,2,102,"2;1","uKh56TKD",0,1,NA,0,1.01,3
21,0.732819582625078,2,4,2,106,"2;1","uKh56TKD",0,1,NA,0,1.01,3
22,0.934970319018373,1,-12,2,94,"2;1","uKh56TKD",0,1,NA,0,1.01,3
23,0.595877345937414,2,2,2,96,"2;1","uKh56TKD",0,1,NA,0,1.01,3
24,0.5,1,10,2,106,"2;1","uKh56TKD",0,1,NA,0,1.01,3
25,0.905418019440138,2,4,2,110,"2;1","uKh56TKD",0,1,NA,0,1.01,3
1,0.798167726684537,1,12,3,12,"2;1","uKh56TKD",0,1,NA,0,1.01,3
2,1.13459716299784,2,1,3,13,"2;1","uKh56TKD",0,1,NA,0,1.01,3
3,0.909937560834287,2,2,3,15,"2;1","uKh56TKD",0,1,NA,0,1.01,3
4,0.819996764652289,2,2,3,17,"2;1","uKh56TKD",0,1,NA,0,1.01,3
5,1.14766352752629,1,-9,3,8,"2;1","uKh56TKD",0,1,NA,0,1.01,3
6,0.949364542042321,1,5,3,13,"2;1","uKh56TKD",0,1,NA,0,1.01,3
7,1.04924249987814,1,11,3,24,"2;1","uKh56TKD",0,1,NA,0,1.01,3
8,1.02814196560079,2,4,3,28,"2;1","uKh56TKD",0,1,NA,0,1.01,3
9,0.5,1,19,3,47,"2;1","uKh56TKD",0,1,NA,0,1.01,3
10,0.5,1,-1,3,46,"2;1","uKh56TKD",0,1,NA,0,1.01,3
11,0.749771744818793,1,8,3,54,"2;1","uKh56TKD",0,1,NA,0,1.01,3
12,0.66453740007994,1,21,3,75,"2;1","uKh56TKD",0,1,NA,0,1.01,3
13,1.05996445147681,1,15,3,90,"2;1","uKh56TKD",0,1,NA,0,1.01,3
14,1.26426911027389,1,12,3,102,"2;1","uKh56TKD",0,1,NA,0,1.01,3
15,1.01594335503218,1,5,3,107,"2;1","uKh56TKD",0,1,NA,0,1.01,3
16,0.785137215138206,2,2,3,109,"2;1","uKh56TKD",0,1,NA,0,1.01,3
17,0.972977363123238,2,7,3,116,"2;1","uKh56TKD",0,1,NA,0,1.01,3
18,0.534508979613997,2,7,3,123,"2;1","uKh56TKD",0,1,NA,0,1.01,3
19,0.775743321678113,2,3,3,126,"2;1","uKh56TKD",0,1,NA,0,1.01,3
20,0.835599911667222,1,-20,3,106,"2;1","uKh56TKD",0,1,NA,0,1.01,3
21,0.86509657293806,2,8,3,114,"2;1","uKh56TKD",0,1,NA,0,1.01,3
22,0.663120589238183,1,2,3,116,"2;1","uKh56TKD",0,1,NA,0,1.01,3
23,0.757644609082748,1,11,3,127,"2;1","uKh56TKD",0,1,NA,0,1.01,3
24,0.918998364866775,2,4,3,131,"2;1","uKh56TKD",0,1,NA,0,1.01,3
25,0.5,2,4,3,135,"2;1","uKh56TKD",0,1,NA,0,1.01,3
1,1.45121384603701,2,0,4,0,"2;1","uKh56TKD",0,1,NA,0,1.01,3
2,1.2014775250454,1,4,4,4,"2;1","uKh56TKD",0,1,NA,0,1.01,3
3,1.04203190482574,2,3,4,7,"2;1","uKh56TKD",0,1,NA,0,1.01,3
4,0.69672819942727,2,4,4,11,"2;1","uKh56TKD",0,1,NA,0,1.01,3
5,1.04298646992786,2,3,4,14,"2;1","uKh56TKD",0,1,NA,0,1.01,3
6,0.5,1,-5,4,9,"2;1","uKh56TKD",0,1,NA,0,1.01,3
7,0.73492852480391,2,1,4,10,"2;1","uKh56TKD",0,1,NA,0,1.01,3
