"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.759396004194106,2,4,1,4,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
2,0.589817851052018,1,2,1,6,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
3,0.973520241040602,2,4,1,10,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
4,0.842461686905764,2,-2,1,8,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
5,0.978460535420373,1,0,1,8,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
6,1.05160651778877,1,5,1,13,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
7,0.753465853113702,1,2,1,15,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
8,1.11618634205779,1,4,1,19,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
9,0.867146045413511,2,2,1,21,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
10,0.876247012868136,1,5,1,26,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
11,0.612851506211413,2,3,1,29,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
12,0.555993714056594,1,-1,1,28,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
13,1.24318649085464,1,3,1,31,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
14,0.631231864330048,1,2,1,33,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
15,0.95053894447805,1,3,1,36,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
16,0.809190880934447,2,3,1,39,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
17,0.575759445496765,2,4,1,43,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
18,0.776263684295568,2,2,1,45,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
19,0.549164755361008,1,1,1,46,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
20,0.577200574740369,1,6,1,52,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
1,0.5,1,-7,2,-7,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
2,1.0706688292724,2,4,2,-3,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
3,0.582399407836509,1,-12,2,-15,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
4,0.5,1,-2,2,-17,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
5,0.802136283885432,1,21,2,4,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
6,0.811268165083881,2,3,2,7,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
7,0.5,2,3,2,10,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
8,0.752866554071519,2,-1,2,9,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
9,0.858042784820897,2,2,2,11,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
10,0.931076443916681,1,18,2,29,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
11,0.776407129714356,2,-2,2,27,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
12,1.38409306658578,2,7,2,34,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
13,0.874535047635935,2,4,2,38,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
14,0.647825885118803,1,8,2,46,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
15,0.811657369596814,2,3,2,49,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
16,0.610699945933917,2,3,2,52,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
17,1.07332013182244,1,14,2,66,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
18,0.577663126548262,1,14,2,80,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
19,0.718775282821735,2,0,2,80,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
20,0.712912618822815,1,-12,2,68,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
21,0.70623499062445,1,1,2,69,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
22,0.928685782554556,1,14,2,83,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
23,0.774803245114336,2,5,2,88,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
24,0.754031685215448,1,-12,2,76,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
25,0.991450121969764,2,1,2,77,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
1,0.755782026395943,1,-1,3,-1,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
2,0.651241224067351,2,1,3,0,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
3,0.876911338101581,1,11,3,11,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
4,0.586769509604618,2,3,3,14,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
5,1.17547362322603,2,4,3,18,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
6,0.71589836574358,2,2,3,20,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
7,0.5,2,0,3,20,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
8,0.708752212522682,1,8,3,28,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
9,1.09542397080855,2,1,3,29,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
10,0.520881126010233,1,0,3,29,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
11,0.912387929996435,2,-1,3,28,"2;1","uQ7rM1IS",0,3,NA,0,0.94,2
