"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.907929982866156,1,-1,1,-1,"1;2","uXKoipq9",100,4,6,0,1.2,3
2,0.687846959764232,2,4,1,3,"1;2","uXKoipq9",100,4,6,0,1.2,3
3,0.885053968286231,2,5,1,8,"1;2","uXKoipq9",100,4,6,0,1.2,3
4,0.743280001923027,2,4,1,12,"1;2","uXKoipq9",100,4,6,0,1.2,3
5,0.5,1,4,1,16,"1;2","uXKoipq9",100,4,6,0,1.2,3
6,1.07432637347772,2,0,1,16,"1;2","uXKoipq9",100,4,6,0,1.2,3
7,0.836893722452263,1,2,1,18,"1;2","uXKoipq9",100,4,6,0,1.2,3
8,0.823326856664939,1,4,1,22,"1;2","uXKoipq9",100,4,6,0,1.2,3
9,0.62936907656865,1,-1,1,21,"1;2","uXKoipq9",100,4,6,0,1.2,3
10,1.23533529660042,2,2,1,23,"1;2","uXKoipq9",100,4,6,0,1.2,3
11,1.08966342724079,1,3,1,26,"1;2","uXKoipq9",100,4,6,0,1.2,3
12,0.665689817233279,1,0,1,26,"1;2","uXKoipq9",100,4,6,0,1.2,3
13,1.33578702619103,1,3,1,29,"1;2","uXKoipq9",100,4,6,0,1.2,3
14,0.544104603523876,1,5,1,34,"1;2","uXKoipq9",100,4,6,0,1.2,3
15,0.731755375838716,2,5,1,39,"1;2","uXKoipq9",100,4,6,0,1.2,3
16,0.728350779608137,2,6,1,45,"1;2","uXKoipq9",100,4,6,0,1.2,3
17,0.824714776009812,1,5,1,50,"1;2","uXKoipq9",100,4,6,0,1.2,3
18,1.01522949638213,2,2,1,52,"1;2","uXKoipq9",100,4,6,0,1.2,3
19,0.639599995998188,2,2,1,54,"1;2","uXKoipq9",100,4,6,0,1.2,3
20,0.945325700492894,2,5,1,59,"1;2","uXKoipq9",100,4,6,0,1.2,3
1,0.9696290361286,1,17,2,17,"2;1","uXKoipq9",100,4,6,0,1.2,3
2,1.02559892985424,2,7,2,24,"2;1","uXKoipq9",100,4,6,0,1.2,3
3,0.613264399794218,1,10,2,34,"2;1","uXKoipq9",100,4,6,0,1.2,3
4,0.5,1,7,2,41,"2;1","uXKoipq9",100,4,6,0,1.2,3
5,0.813118725938966,1,5,2,46,"2;1","uXKoipq9",100,4,6,0,1.2,3
6,0.603997668769572,1,-4,2,42,"2;1","uXKoipq9",100,4,6,0,1.2,3
7,1.01669773705624,2,-1,2,41,"2;1","uXKoipq9",100,4,6,0,1.2,3
8,0.565502616597067,1,-1,2,40,"2;1","uXKoipq9",100,4,6,0,1.2,3
9,0.709621048712431,1,-2,2,38,"2;1","uXKoipq9",100,4,6,0,1.2,3
10,1.04337276931756,1,-2,2,36,"2;1","uXKoipq9",100,4,6,0,1.2,3
11,0.560278331867251,1,5,2,41,"2;1","uXKoipq9",100,4,6,0,1.2,3
12,0.5,2,8,2,49,"2;1","uXKoipq9",100,4,6,0,1.2,3
13,1.05969701730863,1,4,2,53,"2;1","uXKoipq9",100,4,6,0,1.2,3
14,0.824491756524206,1,18,2,71,"2;1","uXKoipq9",100,4,6,0,1.2,3
