"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,0,1,0,"1;2","uivMymQt",100,6,4,1,0.8,1
2,0.820043865207903,1,4,1,4,"1;2","uivMymQt",100,6,4,1,0.8,1
3,1.02951822178465,2,3,1,7,"1;2","uivMymQt",100,6,4,1,0.8,1
4,0.547051869645149,1,1,1,8,"1;2","uivMymQt",100,6,4,1,0.8,1
5,0.60921875204894,2,4,1,12,"1;2","uivMymQt",100,6,4,1,0.8,1
6,0.588577001106115,1,0,1,12,"1;2","uivMymQt",100,6,4,1,0.8,1
7,0.662651948245687,2,6,1,18,"1;2","uivMymQt",100,6,4,1,0.8,1
8,0.999741198791587,2,4,1,22,"1;2","uivMymQt",100,6,4,1,0.8,1
9,0.816985613224456,1,2,1,24,"1;2","uivMymQt",100,6,4,1,0.8,1
10,0.758883061453515,2,2,1,26,"1;2","uivMymQt",100,6,4,1,0.8,1
11,0.5,2,2,1,28,"1;2","uivMymQt",100,6,4,1,0.8,1
12,0.684427217366343,2,3,1,31,"1;2","uivMymQt",100,6,4,1,0.8,1
13,0.980986568324157,2,2,1,33,"1;2","uivMymQt",100,6,4,1,0.8,1
14,0.769574751964129,2,2,1,35,"1;2","uivMymQt",100,6,4,1,0.8,1
15,0.982715632414876,1,4,1,39,"1;2","uivMymQt",100,6,4,1,0.8,1
16,0.604239906523806,2,1,1,40,"1;2","uivMymQt",100,6,4,1,0.8,1
17,0.856150122225794,1,2,1,42,"1;2","uivMymQt",100,6,4,1,0.8,1
18,0.897872616264412,1,2,1,44,"1;2","uivMymQt",100,6,4,1,0.8,1
19,0.995439667837113,1,3,1,47,"1;2","uivMymQt",100,6,4,1,0.8,1
20,1.03818131181983,1,4,1,51,"1;2","uivMymQt",100,6,4,1,0.8,1
1,1.05122247110527,2,3,2,3,"2;1","uivMymQt",100,6,4,1,0.8,1
2,1.09747164378385,1,-5,2,-2,"2;1","uivMymQt",100,6,4,1,0.8,1
3,0.940003297429298,2,-1,2,-3,"2;1","uivMymQt",100,6,4,1,0.8,1
4,0.688858459552563,2,6,2,3,"2;1","uivMymQt",100,6,4,1,0.8,1
5,0.890934347182145,2,2,2,5,"2;1","uivMymQt",100,6,4,1,0.8,1
6,0.677145566403966,2,2,2,7,"2;1","uivMymQt",100,6,4,1,0.8,1
7,0.911284362811169,2,1,2,8,"2;1","uivMymQt",100,6,4,1,0.8,1
8,1.02220962282813,2,7,2,15,"2;1","uivMymQt",100,6,4,1,0.8,1
9,0.564244806139014,1,-3,2,12,"2;1","uivMymQt",100,6,4,1,0.8,1
10,0.760734913279803,2,6,2,18,"2;1","uivMymQt",100,6,4,1,0.8,1
11,0.737201794516615,2,6,2,24,"2;1","uivMymQt",100,6,4,1,0.8,1
12,1.20097070646174,2,0,2,24,"2;1","uivMymQt",100,6,4,1,0.8,1
13,0.824229126088767,2,2,2,26,"2;1","uivMymQt",100,6,4,1,0.8,1
14,1.06337487846341,2,-1,2,25,"2;1","uivMymQt",100,6,4,1,0.8,1
15,1.2380712604256,2,2,2,27,"2;1","uivMymQt",100,6,4,1,0.8,1
16,0.994698907689026,2,5,2,32,"2;1","uivMymQt",100,6,4,1,0.8,1
17,0.64832909430715,2,1,2,33,"2;1","uivMymQt",100,6,4,1,0.8,1
18,1.09346240550662,2,4,2,37,"2;1","uivMymQt",100,6,4,1,0.8,1
19,1.06961832771818,2,9,2,46,"2;1","uivMymQt",100,6,4,1,0.8,1
20,0.976552664529,2,4,2,50,"2;1","uivMymQt",100,6,4,1,0.8,1
21,0.688438146053773,2,8,2,58,"2;1","uivMymQt",100,6,4,1,0.8,1
22,0.869164396479999,2,3,2,61,"2;1","uivMymQt",100,6,4,1,0.8,1
23,0.900498775508065,2,2,2,63,"2;1","uivMymQt",100,6,4,1,0.8,1
24,1.02433136346702,2,7,2,70,"2;1","uivMymQt",100,6,4,1,0.8,1
25,1.10918208050455,1,13,2,83,"2;1","uivMymQt",100,6,4,1,0.8,1
1,0.71555609852828,1,2,3,2,"1;2","uivMymQt",100,6,4,1,0.8,1
2,0.5,1,6,3,8,"1;2","uivMymQt",100,6,4,1,0.8,1
3,0.5,1,5,3,13,"1;2","uivMymQt",100,6,4,1,0.8,1
4,0.5,1,4,3,17,"1;2","uivMymQt",100,6,4,1,0.8,1
5,0.593269687128008,1,4,3,21,"1;2","uivMymQt",100,6,4,1,0.8,1
6,0.921704255866595,2,8,3,29,"1;2","uivMymQt",100,6,4,1,0.8,1
7,0.952128809969158,1,-4,3,25,"1;2","uivMymQt",100,6,4,1,0.8,1
8,0.5,1,4,3,29,"1;2","uivMymQt",100,6,4,1,0.8,1
9,0.595861793294351,1,5,3,34,"1;2","uivMymQt",100,6,4,1,0.8,1
10,0.934626704409862,1,3,3,37,"1;2","uivMymQt",100,6,4,1,0.8,1
11,1.02223072578785,1,0,3,37,"1;2","uivMymQt",100,6,4,1,0.8,1
12,0.5,1,-2,3,35,"1;2","uivMymQt",100,6,4,1,0.8,1
13,0.985677255753886,1,0,3,35,"1;2","uivMymQt",100,6,4,1,0.8,1
