"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.752375410572604,1,4,1,4,"1;2","umPNrXx6",0,3,NA,1,0.71,1
2,0.712141561477029,1,1,1,5,"1;2","umPNrXx6",0,3,NA,1,0.71,1
3,0.642304113021264,1,1,1,6,"1;2","umPNrXx6",0,3,NA,1,0.71,1
4,0.744329888689445,2,3,1,9,"1;2","umPNrXx6",0,3,NA,1,0.71,1
5,0.774462500353394,2,7,1,16,"1;2","umPNrXx6",0,3,NA,1,0.71,1
6,0.821255047894345,1,2,1,18,"1;2","umPNrXx6",0,3,NA,1,0.71,1
7,1.27067084821881,1,7,1,25,"1;2","umPNrXx6",0,3,NA,1,0.71,1
8,0.9720750641339,1,0,1,25,"1;2","umPNrXx6",0,3,NA,1,0.71,1
9,0.566066237179615,2,3,1,28,"1;2","umPNrXx6",0,3,NA,1,0.71,1
10,0.711216917480723,2,5,1,33,"1;2","umPNrXx6",0,3,NA,1,0.71,1
11,0.69269915037121,2,2,1,35,"1;2","umPNrXx6",0,3,NA,1,0.71,1
12,1.02726436627621,2,0,1,35,"1;2","umPNrXx6",0,3,NA,1,0.71,1
13,0.599388796307283,2,7,1,42,"1;2","umPNrXx6",0,3,NA,1,0.71,1
14,0.5,2,2,1,44,"1;2","umPNrXx6",0,3,NA,1,0.71,1
15,1.03308257291472,1,5,1,49,"1;2","umPNrXx6",0,3,NA,1,0.71,1
16,0.603792747663647,2,4,1,53,"1;2","umPNrXx6",0,3,NA,1,0.71,1
17,0.832576631171281,1,1,1,54,"1;2","umPNrXx6",0,3,NA,1,0.71,1
18,0.946065333157634,2,2,1,56,"1;2","umPNrXx6",0,3,NA,1,0.71,1
19,0.826364608330521,2,5,1,61,"1;2","umPNrXx6",0,3,NA,1,0.71,1
20,0.5,1,1,1,62,"1;2","umPNrXx6",0,3,NA,1,0.71,1
1,0.603826257112058,2,0,2,0,"2;1","umPNrXx6",0,3,NA,1,0.71,1
2,0.988704630053501,1,12,2,12,"2;1","umPNrXx6",0,3,NA,1,0.71,1
3,0.817624977329878,1,-10,2,2,"2;1","umPNrXx6",0,3,NA,1,0.71,1
4,0.670959617300746,2,4,2,6,"2;1","umPNrXx6",0,3,NA,1,0.71,1
5,0.76012790302969,2,-1,2,5,"2;1","umPNrXx6",0,3,NA,1,0.71,1
6,0.5,2,6,2,11,"2;1","umPNrXx6",0,3,NA,1,0.71,1
7,1.14330188666304,2,1,2,12,"2;1","umPNrXx6",0,3,NA,1,0.71,1
8,0.898898045313238,1,3,2,15,"2;1","umPNrXx6",0,3,NA,1,0.71,1
9,1.02859338137097,2,1,2,16,"2;1","umPNrXx6",0,3,NA,1,0.71,1
10,0.808847159005219,2,8,2,24,"2;1","umPNrXx6",0,3,NA,1,0.71,1
11,1.03954357732896,2,9,2,33,"2;1","umPNrXx6",0,3,NA,1,0.71,1
12,0.5,2,1,2,34,"2;1","umPNrXx6",0,3,NA,1,0.71,1
13,0.899084941073211,2,5,2,39,"2;1","umPNrXx6",0,3,NA,1,0.71,1
14,0.906852574980702,2,4,2,43,"2;1","umPNrXx6",0,3,NA,1,0.71,1
15,0.795180708994775,2,4,2,47,"2;1","umPNrXx6",0,3,NA,1,0.71,1
16,0.986227945617833,2,5,2,52,"2;1","umPNrXx6",0,3,NA,1,0.71,1
17,0.871129414229535,1,-3,2,49,"2;1","umPNrXx6",0,3,NA,1,0.71,1
18,0.662392606175556,2,0,2,49,"2;1","umPNrXx6",0,3,NA,1,0.71,1
19,1.18553360363017,2,5,2,54,"2;1","umPNrXx6",0,3,NA,1,0.71,1
20,0.572419094485275,1,14,2,68,"2;1","umPNrXx6",0,3,NA,1,0.71,1
21,0.776430770503224,2,1,2,69,"2;1","umPNrXx6",0,3,NA,1,0.71,1
22,0.874006268483035,2,3,2,72,"2;1","umPNrXx6",0,3,NA,1,0.71,1
23,0.891887633872742,2,0,2,72,"2;1","umPNrXx6",0,3,NA,1,0.71,1
24,1.03576701382694,2,1,2,73,"2;1","umPNrXx6",0,3,NA,1,0.71,1
25,0.825300941937517,1,4,2,77,"2;1","umPNrXx6",0,3,NA,1,0.71,1
1,1.07774226705515,1,8,3,8,"2;1","umPNrXx6",0,3,NA,1,0.71,1
2,1.03718979107813,1,-4,3,4,"2;1","umPNrXx6",0,3,NA,1,0.71,1
3,0.947340720877623,2,6,3,10,"2;1","umPNrXx6",0,3,NA,1,0.71,1
4,0.894768357660503,2,2,3,12,"2;1","umPNrXx6",0,3,NA,1,0.71,1
5,0.59948465964475,2,3,3,15,"2;1","umPNrXx6",0,3,NA,1,0.71,1
6,0.676916789233594,2,-1,3,14,"2;1","umPNrXx6",0,3,NA,1,0.71,1
7,0.621202045504925,2,4,3,18,"2;1","umPNrXx6",0,3,NA,1,0.71,1
8,0.880073579352529,2,2,3,20,"2;1","umPNrXx6",0,3,NA,1,0.71,1
9,0.615685175355462,2,1,3,21,"2;1","umPNrXx6",0,3,NA,1,0.71,1
10,0.786497607814255,2,5,3,26,"2;1","umPNrXx6",0,3,NA,1,0.71,1
11,0.5,2,5,3,31,"2;1","umPNrXx6",0,3,NA,1,0.71,1
12,1.19603972441836,2,5,3,36,"2;1","umPNrXx6",0,3,NA,1,0.71,1
13,1.04613460903823,2,1,3,37,"2;1","umPNrXx6",0,3,NA,1,0.71,1
14,1.36036726271867,2,5,3,42,"2;1","umPNrXx6",0,3,NA,1,0.71,1
15,0.73362476821513,2,6,3,48,"2;1","umPNrXx6",0,3,NA,1,0.71,1
16,0.53784056876921,2,1,3,49,"2;1","umPNrXx6",0,3,NA,1,0.71,1
17,0.796247020672593,2,-3,3,46,"2;1","umPNrXx6",0,3,NA,1,0.71,1
18,0.556911374684296,2,3,3,49,"2;1","umPNrXx6",0,3,NA,1,0.71,1
19,0.5,2,6,3,55,"2;1","umPNrXx6",0,3,NA,1,0.71,1
20,0.5,2,-1,3,54,"2;1","umPNrXx6",0,3,NA,1,0.71,1
21,0.681624700731394,1,7,3,61,"2;1","umPNrXx6",0,3,NA,1,0.71,1
22,0.886068584264879,2,0,3,61,"2;1","umPNrXx6",0,3,NA,1,0.71,1
23,1.00648276012637,1,17,3,78,"2;1","umPNrXx6",0,3,NA,1,0.71,1
24,0.552112592321443,2,3,3,81,"2;1","umPNrXx6",0,3,NA,1,0.71,1
25,0.891190030677487,2,8,3,89,"2;1","umPNrXx6",0,3,NA,1,0.71,1
1,0.5,2,4,4,4,"2;1","umPNrXx6",0,3,NA,1,0.71,1
2,0.994063549793438,2,2,4,6,"2;1","umPNrXx6",0,3,NA,1,0.71,1
3,1.09301249376113,2,4,4,10,"2;1","umPNrXx6",0,3,NA,1,0.71,1
4,0.787464622918778,2,-3,4,7,"2;1","umPNrXx6",0,3,NA,1,0.71,1
5,0.928726724256635,1,-3,4,4,"2;1","umPNrXx6",0,3,NA,1,0.71,1
6,1.42045102194028,2,6,4,10,"2;1","umPNrXx6",0,3,NA,1,0.71,1
7,0.630155688832553,2,6,4,16,"2;1","umPNrXx6",0,3,NA,1,0.71,1
8,0.780221818928932,2,1,4,17,"2;1","umPNrXx6",0,3,NA,1,0.71,1
9,0.681380507213259,2,5,4,22,"2;1","umPNrXx6",0,3,NA,1,0.71,1
10,0.940272309377491,2,4,4,26,"2;1","umPNrXx6",0,3,NA,1,0.71,1
11,1.08096081382734,2,0,4,26,"2;1","umPNrXx6",0,3,NA,1,0.71,1
12,0.5,2,2,4,28,"2;1","umPNrXx6",0,3,NA,1,0.71,1
13,1.09372603189963,1,-6,4,22,"2;1","umPNrXx6",0,3,NA,1,0.71,1
14,0.5,2,-2,4,20,"2;1","umPNrXx6",0,3,NA,1,0.71,1
15,0.726248373622065,2,1,4,21,"2;1","umPNrXx6",0,3,NA,1,0.71,1
16,1.19223918108981,2,5,4,26,"2;1","umPNrXx6",0,3,NA,1,0.71,1
17,0.567848485752223,2,6,4,32,"2;1","umPNrXx6",0,3,NA,1,0.71,1
18,1.10069735600669,2,-1,4,31,"2;1","umPNrXx6",0,3,NA,1,0.71,1
19,0.845091789705464,2,1,4,32,"2;1","umPNrXx6",0,3,NA,1,0.71,1
20,0.968463144551801,2,2,4,34,"2;1","umPNrXx6",0,3,NA,1,0.71,1
21,0.5,2,6,4,40,"2;1","umPNrXx6",0,3,NA,1,0.71,1
22,0.5,2,0,4,40,"2;1","umPNrXx6",0,3,NA,1,0.71,1
23,0.551141828303777,2,2,4,42,"2;1","umPNrXx6",0,3,NA,1,0.71,1
24,0.613970751250782,1,-7,4,35,"2;1","umPNrXx6",0,3,NA,1,0.71,1
25,0.926100774501646,2,1,4,36,"2;1","umPNrXx6",0,3,NA,1,0.71,1
1,0.748504859780091,2,-1,5,-1,"2;1","umPNrXx6",0,3,NA,1,0.71,1
2,0.87874348714116,1,16,5,15,"2;1","umPNrXx6",0,3,NA,1,0.71,1
3,0.844862668071198,1,-7,5,8,"2;1","umPNrXx6",0,3,NA,1,0.71,1
4,1.31273700594786,2,6,5,14,"2;1","umPNrXx6",0,3,NA,1,0.71,1
5,0.725873829554582,2,1,5,15,"2;1","umPNrXx6",0,3,NA,1,0.71,1
6,1.00966627166383,2,6,5,21,"2;1","umPNrXx6",0,3,NA,1,0.71,1
7,1.10229099990561,2,-1,5,20,"2;1","umPNrXx6",0,3,NA,1,0.71,1
8,0.868044345987069,2,3,5,23,"2;1","umPNrXx6",0,3,NA,1,0.71,1
9,0.647718363349835,2,3,5,26,"2;1","umPNrXx6",0,3,NA,1,0.71,1
10,0.568778109796442,2,-1,5,25,"2;1","umPNrXx6",0,3,NA,1,0.71,1
11,0.5,2,4,5,29,"2;1","umPNrXx6",0,3,NA,1,0.71,1
12,0.784759935089704,2,3,5,32,"2;1","umPNrXx6",0,3,NA,1,0.71,1
13,0.775120362497785,2,2,5,34,"2;1","umPNrXx6",0,3,NA,1,0.71,1
14,0.562087791617574,2,-1,5,33,"2;1","umPNrXx6",0,3,NA,1,0.71,1
15,0.683473256945612,2,2,5,35,"2;1","umPNrXx6",0,3,NA,1,0.71,1
16,0.5,2,3,5,38,"2;1","umPNrXx6",0,3,NA,1,0.71,1
17,1.19151164654179,2,2,5,40,"2;1","umPNrXx6",0,3,NA,1,0.71,1
18,0.602053206276909,2,4,5,44,"2;1","umPNrXx6",0,3,NA,1,0.71,1
19,0.5,2,2,5,46,"2;1","umPNrXx6",0,3,NA,1,0.71,1
20,1.04011875463147,2,1,5,47,"2;1","umPNrXx6",0,3,NA,1,0.71,1
21,0.595799567322752,2,5,5,52,"2;1","umPNrXx6",0,3,NA,1,0.71,1
22,1.00050684137396,2,1,5,53,"2;1","umPNrXx6",0,3,NA,1,0.71,1
23,0.626410019638391,2,-1,5,52,"2;1","umPNrXx6",0,3,NA,1,0.71,1
24,1.0185173685904,2,3,5,55,"2;1","umPNrXx6",0,3,NA,1,0.71,1
25,0.587722704638125,1,20,5,75,"2;1","umPNrXx6",0,3,NA,1,0.71,1
1,0.5,2,5,6,5,"2;1","umPNrXx6",0,3,NA,1,0.71,1
2,0.61697090674356,2,5,6,10,"2;1","umPNrXx6",0,3,NA,1,0.71,1
3,0.671410446517875,1,9,6,19,"2;1","umPNrXx6",0,3,NA,1,0.71,1
4,0.806419574457916,2,1,6,20,"2;1","umPNrXx6",0,3,NA,1,0.71,1
5,0.928964205653902,1,2,6,22,"2;1","umPNrXx6",0,3,NA,1,0.71,1
