"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.684078768013202,2,7,1,7,"2;1","urAZeHZE",100,4,7,0,1.4,1
2,0.884720316910191,2,0,1,7,"2;1","urAZeHZE",100,4,7,0,1.4,1
3,0.957391341421033,2,5,1,12,"2;1","urAZeHZE",100,4,7,0,1.4,1
4,0.829535311305916,2,4,1,16,"2;1","urAZeHZE",100,4,7,0,1.4,1
5,0.828731198451278,2,2,1,18,"2;1","urAZeHZE",100,4,7,0,1.4,1
6,0.97825311105262,2,3,1,21,"2;1","urAZeHZE",100,4,7,0,1.4,1
7,1.01652067373219,2,6,1,27,"2;1","urAZeHZE",100,4,7,0,1.4,1
8,0.742956368263522,2,3,1,30,"2;1","urAZeHZE",100,4,7,0,1.4,1
9,0.736511494652094,2,3,1,33,"2;1","urAZeHZE",100,4,7,0,1.4,1
10,1.16720190696346,2,6,1,39,"2;1","urAZeHZE",100,4,7,0,1.4,1
11,0.987864775877064,2,1,1,40,"2;1","urAZeHZE",100,4,7,0,1.4,1
12,0.952266343244064,2,4,1,44,"2;1","urAZeHZE",100,4,7,0,1.4,1
13,0.990008588357642,2,1,1,45,"2;1","urAZeHZE",100,4,7,0,1.4,1
14,0.834936640049367,2,0,1,45,"2;1","urAZeHZE",100,4,7,0,1.4,1
15,1.08500155786165,1,4,1,49,"2;1","urAZeHZE",100,4,7,0,1.4,1
16,0.5,2,2,1,51,"2;1","urAZeHZE",100,4,7,0,1.4,1
17,1.2290804748568,1,3,1,54,"2;1","urAZeHZE",100,4,7,0,1.4,1
18,0.664078980381792,2,3,1,57,"2;1","urAZeHZE",100,4,7,0,1.4,1
19,1.00628246212715,1,5,1,62,"2;1","urAZeHZE",100,4,7,0,1.4,1
20,0.67154434796861,1,4,1,66,"2;1","urAZeHZE",100,4,7,0,1.4,1
1,0.770208123038692,1,5,2,5,"1;2","urAZeHZE",100,4,7,0,1.4,1
2,0.995554739098808,2,-10,2,-5,"1;2","urAZeHZE",100,4,7,0,1.4,1
3,0.706097787024839,1,3,2,-2,"1;2","urAZeHZE",100,4,7,0,1.4,1
4,1.24240770075893,1,4,2,2,"1;2","urAZeHZE",100,4,7,0,1.4,1
5,0.891610041272215,2,4,2,6,"1;2","urAZeHZE",100,4,7,0,1.4,1
6,0.542957040168604,2,7,2,13,"1;2","urAZeHZE",100,4,7,0,1.4,1
7,0.934463932323421,2,1,2,14,"1;2","urAZeHZE",100,4,7,0,1.4,1
8,0.503924028307195,2,2,2,16,"1;2","urAZeHZE",100,4,7,0,1.4,1
9,0.826882974289334,2,-3,2,13,"1;2","urAZeHZE",100,4,7,0,1.4,1
10,0.714954134109331,2,0,2,13,"1;2","urAZeHZE",100,4,7,0,1.4,1
11,0.847411949051161,2,-1,2,12,"1;2","urAZeHZE",100,4,7,0,1.4,1
12,0.5,2,-6,2,6,"1;2","urAZeHZE",100,4,7,0,1.4,1
13,1.38570095854102,2,-1,2,5,"1;2","urAZeHZE",100,4,7,0,1.4,1
14,0.5,2,-6,2,-1,"1;2","urAZeHZE",100,4,7,0,1.4,1
15,0.827793823540433,2,-4,2,-5,"1;2","urAZeHZE",100,4,7,0,1.4,1
16,0.633300566251856,2,5,2,0,"1;2","urAZeHZE",100,4,7,0,1.4,1
17,0.847309658357038,2,-6,2,-6,"1;2","urAZeHZE",100,4,7,0,1.4,1
18,1.07656180147936,2,-3,2,-9,"1;2","urAZeHZE",100,4,7,0,1.4,1
19,0.550791801690702,1,4,2,-5,"1;2","urAZeHZE",100,4,7,0,1.4,1
20,1.32582114859172,2,-3,2,-8,"1;2","urAZeHZE",100,4,7,0,1.4,1
21,0.624536328790893,1,8,2,0,"1;2","urAZeHZE",100,4,7,0,1.4,1
22,1.13816677675756,2,-4,2,-4,"1;2","urAZeHZE",100,4,7,0,1.4,1
23,0.72360863491611,2,8,2,4,"1;2","urAZeHZE",100,4,7,0,1.4,1
24,0.607788888149997,2,4,2,8,"1;2","urAZeHZE",100,4,7,0,1.4,1
25,1.13705042521624,1,6,2,14,"1;2","urAZeHZE",100,4,7,0,1.4,1
1,0.51718298246262,1,5,3,5,"2;1","urAZeHZE",100,4,7,0,1.4,1
2,0.569321358323372,1,-4,3,1,"2;1","urAZeHZE",100,4,7,0,1.4,1
3,0.5,1,13,3,14,"2;1","urAZeHZE",100,4,7,0,1.4,1
4,0.5,1,-2,3,12,"2;1","urAZeHZE",100,4,7,0,1.4,1
5,0.98002710345042,1,20,3,32,"2;1","urAZeHZE",100,4,7,0,1.4,1
6,0.5,1,0,3,32,"2;1","urAZeHZE",100,4,7,0,1.4,1
7,0.984949819898554,1,-11,3,21,"2;1","urAZeHZE",100,4,7,0,1.4,1
8,1.07984381508434,1,20,3,41,"2;1","urAZeHZE",100,4,7,0,1.4,1
9,0.513312843854639,1,11,3,52,"2;1","urAZeHZE",100,4,7,0,1.4,1
