"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.875007333953071,1,4,1,4,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
2,0.664018604628776,1,2,1,6,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
3,0.64023785961113,1,6,1,12,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
4,1.01521664566809,1,2,1,14,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
5,1.09960445427796,1,3,1,17,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
6,1.12865580829401,1,4,1,21,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
7,1.07495157580863,1,5,1,26,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
8,0.83444703308289,1,3,1,29,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
9,0.717454974693412,1,3,1,32,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
10,0.5,1,5,1,37,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
11,0.64503505298861,2,3,1,40,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
12,0.5,1,3,1,43,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
13,0.651785958922471,1,1,1,44,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
14,0.74171842533578,1,4,1,48,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
15,0.5,2,3,1,51,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
16,0.623970270690113,1,4,1,55,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
17,0.5,1,0,1,55,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
18,0.923031164669205,1,3,1,58,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
19,0.603976137026977,2,1,1,59,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
20,0.929053115044219,1,6,1,65,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
1,0.5,1,1,2,1,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
2,0.658237166228563,1,2,2,3,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
3,0.549913169310108,1,6,2,9,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
4,0.703655461254383,1,8,2,17,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
5,0.841452948712385,1,1,2,18,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
6,0.662654133853283,1,3,2,21,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
7,1.21011772440423,1,5,2,26,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
8,0.793370558460072,1,7,2,33,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
9,0.729138716729029,2,10,2,43,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
10,0.819932503431399,1,3,2,46,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
11,0.74645848733326,1,3,2,49,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
12,1.0213631434134,2,8,2,57,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
13,0.801613252140401,1,2,2,59,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
14,1.01559386870007,2,15,2,74,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
15,0.5,1,8,2,82,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
16,0.5,2,-2,2,80,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
17,0.881827599439109,1,4,2,84,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
18,0.5,2,0,2,84,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
19,0.919909999812859,1,5,2,89,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
20,1.1510762451714,1,1,2,90,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
21,0.921007305992185,1,5,2,95,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
22,0.865572003828225,1,5,2,100,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
23,1.24881965258661,1,5,2,105,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
24,0.707192562945915,2,7,2,112,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
25,0.524376263502708,1,3,2,115,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
1,0.5,2,5,3,5,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
2,0.5,2,4,3,9,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
3,0.551195159978489,1,7,3,16,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
4,0.5,1,-14,3,2,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
5,0.814784029486921,2,1,3,3,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
6,0.612813106004096,2,1,3,4,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
7,0.598277542552282,2,4,3,8,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
8,0.838819131287184,2,3,3,11,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
9,1.03236690780369,2,2,3,13,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
10,0.5,2,3,3,16,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
11,0.935286874299157,2,-1,3,15,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
12,0.80454815062727,2,4,3,19,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
13,1.20186450999722,2,0,3,19,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
14,0.829975296945625,2,5,3,24,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
15,0.647173096697998,2,3,3,27,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
16,0.845917127013456,2,4,3,31,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
17,1.00470779854014,2,6,3,37,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
18,1.23672920137566,2,6,3,43,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
19,0.874254026284225,2,3,3,46,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
20,0.75638908648308,2,1,3,47,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
21,1.1864786239315,2,5,3,52,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
22,1.37417496359061,2,5,3,57,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
23,0.746567485059571,2,2,3,59,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
24,0.764596841552012,2,2,3,61,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
25,0.5,2,1,3,62,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
1,1.18073386300512,2,-9,4,-9,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
2,0.765511210709962,1,8,4,-1,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
3,0.674258454408797,1,8,4,7,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
4,0.926108629444013,1,4,4,11,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
5,0.67162448647244,2,14,4,25,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
6,0.5,1,0,4,25,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
7,0.704275126297307,2,-17,4,8,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
8,0.903434632779892,1,9,4,17,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
9,1.16808024909403,1,4,4,21,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
10,0.882847853304672,1,7,4,28,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
11,0.682455174932561,1,6,4,34,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
12,1.03166539588967,1,5,4,39,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
13,0.5,1,0,4,39,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
14,1.1675826808618,1,6,4,45,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
15,1.03883194480214,1,-2,4,43,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
16,1.09130613730827,1,5,4,48,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
17,0.822513182173383,2,-8,4,40,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
18,1.0273296001728,2,-15,4,25,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
19,0.730984020468809,1,5,4,30,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
20,0.635483200660508,1,6,4,36,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
21,1.01025668501028,2,37,4,73,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
22,0.856767874201948,2,10,4,83,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
23,0.696754137822081,2,-14,4,69,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
24,0.901963621081285,1,5,4,74,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
25,1.30124229621562,1,2,4,76,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
1,0.544447042975714,2,7,5,7,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
2,1.02022057176809,2,3,5,10,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
3,0.697721636270676,1,4,5,14,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
4,0.5,2,28,5,42,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
5,0.51308119604878,2,6,5,48,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
6,0.911561384219755,2,22,5,70,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
7,1.03949738904061,2,5,5,75,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
8,0.5,1,4,5,79,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
9,1.09011780678054,2,4,5,83,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
10,0.601337403277418,2,9,5,92,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
11,0.948196115973162,1,10,5,102,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
12,0.732138100416651,2,9,5,111,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
13,0.794262216409409,2,4,5,115,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
14,0.548381765254917,2,-6,5,109,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
15,1.18344601985775,1,3,5,112,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
16,0.94473784796271,1,6,5,118,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
17,1.2770109223294,1,3,5,121,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
18,0.610232247012788,1,4,5,125,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
19,0.5,2,13,5,138,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
20,0.946679555433336,2,-13,5,125,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
21,0.5,2,13,5,138,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
22,0.954878801453678,1,5,5,143,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
23,1.05587093543495,2,-10,5,133,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
24,0.969188085203022,1,4,5,137,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
25,1.25103476383782,1,1,5,138,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
1,0.565173696412522,1,10,6,10,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
2,0.740004022652246,1,5,6,15,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
3,0.831217255745251,1,0,6,15,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
4,0.872165292048068,1,8,6,23,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
5,0.746744000217522,1,1,6,24,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
6,0.502429351851963,1,3,6,27,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
7,0.71362731300787,1,5,6,32,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
8,0.865356732416953,1,0,6,32,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
9,0.775960504630198,1,-2,6,30,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
10,1.16153717537534,2,17,6,47,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
11,1.21597410749793,2,-1,6,46,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
12,0.937588884307029,2,-1,6,45,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
13,0.636652381621434,2,3,6,48,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
14,0.917896357091537,2,22,6,70,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
15,0.65244432582065,1,4,6,74,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
16,0.967121568461759,2,3,6,77,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
17,1.37040836340827,1,0,6,77,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
18,1.07020888649168,2,27,6,104,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
19,0.843713004351896,2,3,6,107,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
20,0.7326872363254,1,3,6,110,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
21,0.5,2,17,6,127,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
22,0.5,2,3,6,130,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
23,0.5,2,26,6,156,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
24,0.84424556430074,2,-17,6,139,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
25,0.775322149716735,2,4,6,143,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
1,1.03068559615186,2,4,7,4,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
2,1.46972407280561,2,7,7,11,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
3,1.11075679925363,2,3,7,14,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
4,1.12094018337523,2,9,7,23,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
5,1.05435089174491,2,7,7,30,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
6,0.764205968257684,2,6,7,36,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
7,0.866234038605934,2,9,7,45,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
8,1.17871441409216,1,-1,7,44,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
9,0.797778771941307,1,3,7,47,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
10,0.906703282996113,2,8,7,55,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
11,0.944802424161989,2,6,7,61,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
12,0.873887347168995,2,-2,7,59,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
13,0.5,2,4,7,63,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
14,0.918610595704942,2,2,7,65,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
15,0.8236490666411,2,2,7,67,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
16,1.13411584012936,2,1,7,68,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
17,0.663117139500992,2,6,7,74,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
18,0.974863285779867,1,10,7,84,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
19,0.962094225067275,1,16,7,100,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
20,0.538220555903029,2,4,7,104,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
21,0.506033075396754,1,-4,7,100,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
22,0.896781333457594,2,-1,7,99,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
23,1.06352760885621,2,4,7,103,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
24,0.568099562609856,1,7,7,110,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
25,0.5,1,36,7,146,"2;1","vWY3nSeE",0,1,NA,0,1.3,3
1,0.825742529011309,1,3,8,3,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
2,1.06152662849354,1,5,8,8,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
3,0.528382912268739,2,10,8,18,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
4,0.861287533040771,2,3,8,21,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
5,0.640278733339302,1,3,8,24,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
6,0.758895985910561,2,6,8,30,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
7,1.09269856912826,2,6,8,36,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
8,0.5,1,6,8,42,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
9,0.660657889195568,2,2,8,44,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
10,0.868276106838295,1,6,8,50,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
11,0.819923564015407,2,16,8,66,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
12,1.02467334629995,2,10,8,76,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
13,0.960357327046647,2,-1,8,75,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
14,0.813805072863771,1,8,8,83,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
15,0.752725566200011,1,7,8,90,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
16,0.5,1,1,8,91,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
17,0.774415820465687,2,7,8,98,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
18,0.994012579222791,1,7,8,105,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
19,0.832624191643964,2,2,8,107,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
20,1.16418969462274,1,2,8,109,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
21,0.99536646375645,2,13,8,122,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
22,1.03417103108148,2,12,8,134,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
23,0.5,2,0,8,134,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
24,0.5,2,14,8,148,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
25,0.862987133490619,2,15,8,163,"1;2","vWY3nSeE",0,1,NA,0,1.3,3
