"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.881297811138804,1,4,1,4,"2;1","vXJ72KxU",100,5,3,0,0.6,1
2,0.673557346794121,1,0,1,4,"2;1","vXJ72KxU",100,5,3,0,0.6,1
3,0.777391789925158,1,0,1,4,"2;1","vXJ72KxU",100,5,3,0,0.6,1
4,0.5,2,-1,1,3,"2;1","vXJ72KxU",100,5,3,0,0.6,1
5,0.66549496437643,2,2,1,5,"2;1","vXJ72KxU",100,5,3,0,0.6,1
6,0.537806369875795,1,5,1,10,"2;1","vXJ72KxU",100,5,3,0,0.6,1
7,0.5,2,3,1,13,"2;1","vXJ72KxU",100,5,3,0,0.6,1
8,0.951675512949654,1,-1,1,12,"2;1","vXJ72KxU",100,5,3,0,0.6,1
9,0.5,1,5,1,17,"2;1","vXJ72KxU",100,5,3,0,0.6,1
10,0.5,1,6,1,23,"2;1","vXJ72KxU",100,5,3,0,0.6,1
11,0.808408490107871,1,7,1,30,"2;1","vXJ72KxU",100,5,3,0,0.6,1
12,0.958380741065452,1,5,1,35,"2;1","vXJ72KxU",100,5,3,0,0.6,1
13,0.757279380190588,1,4,1,39,"2;1","vXJ72KxU",100,5,3,0,0.6,1
14,0.5,1,2,1,41,"2;1","vXJ72KxU",100,5,3,0,0.6,1
15,1.11763607696129,1,2,1,43,"2;1","vXJ72KxU",100,5,3,0,0.6,1
16,0.872365966298062,1,0,1,43,"2;1","vXJ72KxU",100,5,3,0,0.6,1
17,0.603784560602135,1,4,1,47,"2;1","vXJ72KxU",100,5,3,0,0.6,1
18,0.92188268585264,2,3,1,50,"2;1","vXJ72KxU",100,5,3,0,0.6,1
19,0.829126772109437,1,4,1,54,"2;1","vXJ72KxU",100,5,3,0,0.6,1
20,0.752323791248976,1,3,1,57,"2;1","vXJ72KxU",100,5,3,0,0.6,1
1,0.981911669228272,1,-13,2,-13,"2;1","vXJ72KxU",100,5,3,0,0.6,1
2,1.18589763839517,1,-2,2,-15,"2;1","vXJ72KxU",100,5,3,0,0.6,1
3,0.5,2,9,2,-6,"2;1","vXJ72KxU",100,5,3,0,0.6,1
4,0.663301102472766,1,-8,2,-14,"2;1","vXJ72KxU",100,5,3,0,0.6,1
5,0.792163226631402,1,19,2,5,"2;1","vXJ72KxU",100,5,3,0,0.6,1
6,0.964351377108769,1,-21,2,-16,"2;1","vXJ72KxU",100,5,3,0,0.6,1
