"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,1,1,1,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
2,0.901733086694629,2,4,1,5,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
3,0.5,2,2,1,7,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
4,0.551802962520848,2,2,1,9,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
5,1.12963027488875,2,4,1,13,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
6,0.518714229408003,2,6,1,19,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
7,0.81980587303996,2,1,1,20,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
8,0.5,2,3,1,23,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
9,0.716563316572729,2,8,1,31,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
10,0.560710390722215,1,3,1,34,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
11,0.665938171895742,2,4,1,38,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
12,1.40069984057276,2,1,1,39,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
13,0.790306043181654,2,2,1,41,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
14,0.980273287988415,2,4,1,45,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
15,0.96902633711119,2,1,1,46,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
16,1.10088920860188,1,2,1,48,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
17,0.5,1,1,1,49,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
18,0.982566129533166,2,5,1,54,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
19,0.650854313358745,2,4,1,58,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
20,0.739259519255798,2,0,1,58,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
1,0.570369046989594,1,1,2,1,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
2,0.79483163364301,1,0,2,1,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
3,0.729611955552508,1,-2,2,-1,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
4,1.05041509705867,2,18,2,17,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
5,0.960178905860572,2,26,2,43,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
6,1.0481881883453,2,7,2,50,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
7,0.5,1,4,2,54,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
8,0.510700224215794,2,0,2,54,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
9,0.5,2,-17,2,37,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
10,0.828682640575973,1,4,2,41,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
11,0.709515591454967,1,9,2,50,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
12,0.803618949637498,1,3,2,53,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
13,0.637753227493092,1,6,2,59,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
14,1.09886802902693,1,1,2,60,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
15,0.580243076629556,1,2,2,62,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
16,0.800869591816858,1,3,2,65,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
17,0.886354493024409,1,2,2,67,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
18,0.815029335233046,1,2,2,69,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
19,0.528492839288133,1,5,2,74,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
20,0.774334044764048,1,-1,2,73,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
21,0.940915762661154,1,3,2,76,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
22,0.715995003143272,1,2,2,78,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
23,1.29349839020748,1,4,2,82,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
24,0.915910542691201,1,3,2,85,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
25,0.74710218708872,1,2,2,87,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
1,0.796724959126041,1,6,3,6,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
2,0.903356212666326,1,5,3,11,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
3,0.566387572476538,1,5,3,16,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
4,0.929006310670241,1,3,3,19,"1;2","vfVKaPrs",0,2,NA,2,0.89,3
