"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.99790130239532,1,7,1,7,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
2,0.756965899638345,1,5,1,12,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
3,0.939356451284147,1,5,1,17,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
4,1.06555619433046,2,2,1,19,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
5,0.81633892916379,1,3,1,22,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
6,0.928470977309165,1,2,1,24,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
7,1.06767335249631,1,5,1,29,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
8,0.882857926796805,1,3,1,32,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
9,0.958778502527404,1,2,1,34,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
10,0.776371315109002,1,1,1,35,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
11,1.45034786547821,1,5,1,40,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
12,1.04007918030335,1,4,1,44,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
13,0.524682144313312,1,0,1,44,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
14,0.939831238521492,1,3,1,47,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
15,0.5,1,5,1,52,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
16,0.825222859601137,1,1,1,53,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
17,0.912954504224275,1,2,1,55,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
18,0.806681084509592,1,1,1,56,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
19,1.03709164140192,1,6,1,62,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
20,0.732768581877164,1,2,1,64,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
1,0.824116097626201,1,6,2,6,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
2,0.676645539571516,2,-1,2,5,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
3,1.19823517362086,1,9,2,14,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
4,0.826873616014963,1,8,2,22,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
5,0.5,1,-18,2,4,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
6,0.850547949026551,2,5,2,9,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
7,0.946515246745933,2,7,2,16,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
8,0.823531550751053,2,3,2,19,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
9,0.728225275612421,2,1,2,20,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
10,0.5,2,-1,2,19,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
11,0.793384145904647,2,4,2,23,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
12,0.868261335565979,2,7,2,30,"2;1","wKZk3NUF",0,2,NA,1,0.85,1
