"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.861177503346707,1,3,1,3,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
2,0.906115132923034,1,5,1,8,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
3,1.17171599753785,2,4,1,12,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
4,0.832325872327248,1,3,1,15,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
5,0.879396815036442,1,0,1,15,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
6,0.510427715228613,2,0,1,15,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
7,0.5,1,4,1,19,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
8,0.682676580615508,2,0,1,19,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
9,0.975355579481469,2,4,1,23,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
10,0.727253442389305,1,4,1,27,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
11,1.10997844508616,1,2,1,29,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
12,0.500420814362427,1,5,1,34,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
13,0.649140655330046,1,1,1,35,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
14,0.788143577091618,1,0,1,35,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
15,0.5,2,7,1,42,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
16,0.986343670487838,2,5,1,47,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
17,0.770304406346904,2,2,1,49,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
18,0.928870870870584,2,3,1,52,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
19,0.753986308837763,1,2,1,54,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
20,0.541293653912041,1,3,1,57,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
1,0.5,1,-14,2,-14,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
2,0.676075420166321,1,2,2,-12,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
3,0.5,2,4,2,-8,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
4,0.79211797762876,2,2,2,-6,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
5,0.900804567539074,2,5,2,-1,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
6,1.29070926815292,2,1,2,0,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
7,0.811356898617878,1,6,2,6,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
8,0.700651607577743,2,6,2,12,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
9,0.741069331591094,1,-33,2,-21,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
10,0.659065428024069,1,15,2,-6,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
11,1.32714579274982,2,6,2,0,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
12,0.939912871019282,2,2,2,2,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
13,0.959851244911132,2,3,2,5,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
14,1.0091203097648,1,-8,2,-3,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
15,0.5,2,1,2,-2,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
16,0.669127652210497,1,-20,2,-22,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
17,0.691618255518332,2,4,2,-18,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
18,0.716072089804182,2,5,2,-13,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
19,0.576470552720286,2,6,2,-7,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
20,0.68980634482823,2,6,2,-1,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
21,0.630574647994983,1,-3,2,-4,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
22,0.832422295269998,2,3,2,-1,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
23,1.05009533047209,2,0,2,-1,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
24,0.703636688916713,1,-20,2,-21,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
25,0.5,2,8,2,-13,"2;1","wnZMLSEd",0,2,NA,0,0.87,1
1,0.763274560067505,2,5,3,5,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
2,0.5,1,2,3,7,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
3,0.56568512892363,1,3,3,10,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
4,0.711329871845788,1,4,3,14,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
5,0.5,1,1,3,15,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
6,0.55001892921277,1,-3,3,12,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
7,0.789632621895263,2,2,3,14,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
8,0.579774572256318,2,1,3,15,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
9,0.711839013193137,2,13,3,28,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
10,0.705855458382436,2,0,3,28,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
11,0.517716215651844,2,-15,3,13,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
12,1.20646401754851,1,3,3,16,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
13,0.840373971952905,2,18,3,34,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
14,0.658319558901923,1,6,3,40,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
15,1.2044561394265,1,3,3,43,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
16,0.740496876294151,2,18,3,61,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
17,0.684525760919267,1,4,3,65,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
18,0.916086852027161,2,-8,3,57,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
19,1.10375493025169,1,2,3,59,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
20,1.01474771591898,2,0,3,59,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
21,0.582405148164055,1,5,3,64,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
22,0.5,2,19,3,83,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
23,0.5,2,7,3,90,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
24,1.12165873347489,2,8,3,98,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
25,1.43660207419661,2,29,3,127,"1;2","wnZMLSEd",0,2,NA,0,0.87,1
