"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.572392142057304,1,2,1,2,"1;2","wynuDlsF",100,6,2,1,0.4,1
2,0.864960361652011,1,1,1,3,"1;2","wynuDlsF",100,6,2,1,0.4,1
3,1.09259088435406,1,2,1,5,"1;2","wynuDlsF",100,6,2,1,0.4,1
4,0.5,1,0,1,5,"1;2","wynuDlsF",100,6,2,1,0.4,1
5,0.922854006418611,1,4,1,9,"1;2","wynuDlsF",100,6,2,1,0.4,1
6,0.712964792901049,1,4,1,13,"1;2","wynuDlsF",100,6,2,1,0.4,1
7,0.835848266458172,1,5,1,18,"1;2","wynuDlsF",100,6,2,1,0.4,1
8,1.18834537954443,1,4,1,22,"1;2","wynuDlsF",100,6,2,1,0.4,1
9,1.12911576730928,1,1,1,23,"1;2","wynuDlsF",100,6,2,1,0.4,1
10,0.5,1,4,1,27,"1;2","wynuDlsF",100,6,2,1,0.4,1
11,0.867673562619764,1,2,1,29,"1;2","wynuDlsF",100,6,2,1,0.4,1
12,0.5,1,6,1,35,"1;2","wynuDlsF",100,6,2,1,0.4,1
13,0.5,1,3,1,38,"1;2","wynuDlsF",100,6,2,1,0.4,1
14,0.762335260816154,1,3,1,41,"1;2","wynuDlsF",100,6,2,1,0.4,1
15,0.849281326396798,1,4,1,45,"1;2","wynuDlsF",100,6,2,1,0.4,1
16,0.957032438793256,1,4,1,49,"1;2","wynuDlsF",100,6,2,1,0.4,1
17,0.528020907258986,2,1,1,50,"1;2","wynuDlsF",100,6,2,1,0.4,1
18,0.654940481077834,1,4,1,54,"1;2","wynuDlsF",100,6,2,1,0.4,1
19,0.735741815585183,1,-2,1,52,"1;2","wynuDlsF",100,6,2,1,0.4,1
20,1.03028416721085,1,4,1,56,"1;2","wynuDlsF",100,6,2,1,0.4,1
1,0.789888818719247,1,15,2,15,"2;1","wynuDlsF",100,6,2,1,0.4,1
2,0.657417908026744,1,7,2,22,"2;1","wynuDlsF",100,6,2,1,0.4,1
3,0.506685180550758,2,0,2,22,"2;1","wynuDlsF",100,6,2,1,0.4,1
4,0.5,1,4,2,26,"2;1","wynuDlsF",100,6,2,1,0.4,1
5,0.849632919600505,1,7,2,33,"2;1","wynuDlsF",100,6,2,1,0.4,1
