"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.650391265757458,2,3,1,3,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
2,0.907431743436091,1,3,1,6,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
3,1.08688423874229,1,3,1,9,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
4,0.906392669050518,1,4,1,13,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
5,1.08788947878354,1,5,1,18,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
6,0.862151355080274,1,5,1,23,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
7,1.08966317440312,1,1,1,24,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
8,1.02203036053653,1,4,1,28,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
9,0.633427668901383,1,2,1,30,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
10,1.20386423497963,1,1,1,31,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
11,0.635502795011788,2,1,1,32,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
12,0.795267543813518,1,3,1,35,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
13,0.695278479723172,1,2,1,37,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
14,0.851911648696644,1,0,1,37,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
15,0.666394988390796,1,5,1,42,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
16,1.06104344977521,1,4,1,46,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
17,0.768982593826504,1,5,1,51,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
18,0.5,1,-1,1,50,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
19,0.831406310474442,1,0,1,50,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
20,0.958190039733376,1,2,1,52,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
1,1.08192423381445,2,5,2,5,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
2,0.543622787566767,2,5,2,10,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
3,1.27775590283243,2,5,2,15,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
4,0.5,1,13,2,28,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
5,0.827323959719406,2,5,2,33,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
6,0.866560101793997,1,5,2,38,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
7,0.801163102233907,1,10,2,48,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
8,0.593571735777966,2,3,2,51,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
9,0.576850695908267,1,-17,2,34,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
10,0.837244635106657,2,5,2,39,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
11,0.540932488410286,2,3,2,42,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
12,0.695444107707722,2,3,2,45,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
13,1.05752776423555,2,2,2,47,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
14,1.04545574377234,2,1,2,48,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
15,1.03702791300148,2,3,2,51,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
16,0.804911510476431,2,8,2,59,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
17,0.5,1,18,2,77,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
18,1.02366900611731,1,1,2,78,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
19,0.627142706497657,2,-1,2,77,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
20,0.985945534524389,1,16,2,93,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
21,0.547296725427236,1,15,2,108,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
22,1.09293572988667,2,2,2,110,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
23,0.946792062386199,1,5,2,115,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
24,0.66712423459958,1,-2,2,113,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
25,0.550416285924058,2,2,2,115,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
1,0.848072653082748,2,12,3,12,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
2,0.5,2,1,3,13,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
3,0.56421701200021,2,8,3,21,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
4,1.05774641288262,2,0,3,21,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
5,0.923929036725825,2,-15,3,6,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
6,0.881163226799804,1,5,3,11,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
7,0.5,1,7,3,18,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
8,0.8929782817092,1,6,3,24,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
9,0.796006573841511,1,4,3,28,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
10,0.728687097759658,1,3,3,31,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
11,0.5,1,5,3,36,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
12,0.967267665639828,1,7,3,43,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
13,0.775509902578932,1,3,3,46,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
14,0.5,1,1,3,47,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
15,0.74354164483861,1,-3,3,44,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
16,0.949088843007887,1,1,3,45,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
17,0.5,1,5,3,50,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
18,0.762769832067486,2,0,3,50,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
19,0.874614836486966,1,3,3,53,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
20,0.763377547162537,1,3,3,56,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
21,0.623218860933693,2,1,3,57,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
22,0.824036664106611,2,11,3,68,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
23,0.963823061040092,1,8,3,76,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
24,0.573051528635317,1,0,3,76,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
25,0.823743816062402,1,3,3,79,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
1,0.834747683893151,1,9,4,9,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
2,1.09403201261742,2,3,4,12,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
3,0.679169937828931,1,5,4,17,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
4,1.0060229933774,1,-12,4,5,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
5,0.637194734008718,1,12,4,17,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
6,0.763227738029739,1,3,4,20,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
7,0.749985204989402,1,0,4,20,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
8,1.00202708116151,2,2,4,22,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
9,0.541494930678404,1,31,4,53,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
10,0.663594634579556,1,14,4,67,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
11,0.533368878786441,1,0,4,67,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
12,0.860670436136917,1,-8,4,59,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
13,0.814867920575428,2,6,4,65,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
14,0.895169598416017,1,-21,4,44,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
15,0.992345552682508,2,6,4,50,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
16,0.944617514912225,2,9,4,59,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
17,0.9904792141838,2,5,4,64,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
18,0.775566296221613,2,4,4,68,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
19,0.580339258969133,1,2,4,70,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
20,0.928530890815141,2,1,4,71,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
21,0.522795691283177,1,-2,4,69,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
22,0.5,2,4,4,73,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
23,1.07274578817111,2,7,4,80,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
24,1.54961949423233,1,1,4,81,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
25,1.02854961538236,1,3,4,84,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
1,0.780849465921709,1,13,5,13,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
2,0.5,1,3,5,16,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
3,0.5,1,14,5,30,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
4,0.702683323319817,1,-9,5,21,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
5,0.908330854756428,1,4,5,25,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
6,0.973663449958437,1,6,5,31,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
7,0.705515427661638,2,2,5,33,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
8,0.5,1,0,5,33,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
9,1.00798154309257,1,-11,5,22,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
10,0.628485631836312,1,-15,5,7,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
11,0.805307832600336,1,-11,5,-4,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
12,1.40815764218535,2,4,5,0,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
13,1.13828895813287,2,4,5,4,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
14,0.668179633465566,2,3,5,7,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
15,0.739590925320187,2,1,5,8,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
16,0.663217975707212,1,-3,5,5,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
17,0.842852384712184,2,7,5,12,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
18,0.862262834860108,1,-11,5,1,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
19,0.816550629114802,1,-11,5,-10,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
20,1.02389257286752,2,3,5,-7,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
21,0.784248586320737,1,7,5,0,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
22,0.619961105807896,2,7,5,7,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
23,0.5,2,3,5,10,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
24,1.08945059834965,1,10,5,20,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
25,1.09343203363117,2,2,5,22,"2;1","x9ZZ5xI1",0,2,NA,0,0.82,2
1,1.00292584305813,2,9,6,9,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
2,0.965740944554224,2,-11,6,-2,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
3,0.79045334682013,1,2,6,0,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
4,0.676775442194378,2,-3,6,-3,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
5,0.951122758679212,1,6,6,3,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
6,0.805401371657976,1,1,6,4,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
7,0.913547553029173,1,6,6,10,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
8,0.5,1,2,6,12,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
9,0.686346984296982,1,1,6,13,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
10,0.5,1,-1,6,12,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
11,0.606777389805522,1,5,6,17,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
12,0.5,1,5,6,22,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
13,0.899783740343485,1,5,6,27,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
14,0.740664632056973,1,5,6,32,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
15,0.577245464941199,2,3,6,35,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
16,0.507062774000035,1,3,6,38,"1;2","x9ZZ5xI1",0,2,NA,0,0.82,2
