"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.19870631321968,1,3,1,3,"2;1","xZa2VxC5",100,5,4,0,0.8,1
2,0.562809776669219,1,1,1,4,"2;1","xZa2VxC5",100,5,4,0,0.8,1
3,0.634612559751377,1,1,1,5,"2;1","xZa2VxC5",100,5,4,0,0.8,1
4,0.753243224396211,1,8,1,13,"2;1","xZa2VxC5",100,5,4,0,0.8,1
5,1.04285479085797,2,6,1,19,"2;1","xZa2VxC5",100,5,4,0,0.8,1
6,0.680556733165125,1,2,1,21,"2;1","xZa2VxC5",100,5,4,0,0.8,1
7,0.902882478010642,1,1,1,22,"2;1","xZa2VxC5",100,5,4,0,0.8,1
8,0.666573601131031,2,1,1,23,"2;1","xZa2VxC5",100,5,4,0,0.8,1
9,1.04529007704206,2,3,1,26,"2;1","xZa2VxC5",100,5,4,0,0.8,1
10,1.01186977148434,1,5,1,31,"2;1","xZa2VxC5",100,5,4,0,0.8,1
11,1.02637970169033,1,1,1,32,"2;1","xZa2VxC5",100,5,4,0,0.8,1
12,1.14765772044553,1,6,1,38,"2;1","xZa2VxC5",100,5,4,0,0.8,1
13,0.918806810448089,1,2,1,40,"2;1","xZa2VxC5",100,5,4,0,0.8,1
14,1.10109484027988,1,2,1,42,"2;1","xZa2VxC5",100,5,4,0,0.8,1
15,0.773944056940553,1,7,1,49,"2;1","xZa2VxC5",100,5,4,0,0.8,1
16,0.919528964183943,1,4,1,53,"2;1","xZa2VxC5",100,5,4,0,0.8,1
17,0.690602907645518,1,3,1,56,"2;1","xZa2VxC5",100,5,4,0,0.8,1
18,1.29872817927954,2,3,1,59,"2;1","xZa2VxC5",100,5,4,0,0.8,1
19,0.597083629910553,2,5,1,64,"2;1","xZa2VxC5",100,5,4,0,0.8,1
20,0.659072217838854,1,0,1,64,"2;1","xZa2VxC5",100,5,4,0,0.8,1
1,1.12866510677532,2,2,2,2,"2;1","xZa2VxC5",100,5,4,0,0.8,1
2,0.732060992738189,1,2,2,4,"2;1","xZa2VxC5",100,5,4,0,0.8,1
3,0.53534789255253,1,24,2,28,"2;1","xZa2VxC5",100,5,4,0,0.8,1
4,0.847652389528211,1,2,2,30,"2;1","xZa2VxC5",100,5,4,0,0.8,1
5,0.841425414311538,2,6,2,36,"2;1","xZa2VxC5",100,5,4,0,0.8,1
6,0.834099433466967,1,-3,2,33,"2;1","xZa2VxC5",100,5,4,0,0.8,1
7,0.5,1,-1,2,32,"2;1","xZa2VxC5",100,5,4,0,0.8,1
8,1.29138851550989,1,11,2,43,"2;1","xZa2VxC5",100,5,4,0,0.8,1
9,1.06244994419099,2,5,2,48,"2;1","xZa2VxC5",100,5,4,0,0.8,1
10,0.5,1,7,2,55,"2;1","xZa2VxC5",100,5,4,0,0.8,1
11,0.941595458128506,1,13,2,68,"2;1","xZa2VxC5",100,5,4,0,0.8,1
12,0.792468874162382,1,1,2,69,"2;1","xZa2VxC5",100,5,4,0,0.8,1
13,0.8059538848392,2,7,2,76,"2;1","xZa2VxC5",100,5,4,0,0.8,1
14,0.5,2,3,2,79,"2;1","xZa2VxC5",100,5,4,0,0.8,1
15,1.21204445099768,2,2,2,81,"2;1","xZa2VxC5",100,5,4,0,0.8,1
16,0.839639386595201,2,5,2,86,"2;1","xZa2VxC5",100,5,4,0,0.8,1
17,0.5,1,8,2,94,"2;1","xZa2VxC5",100,5,4,0,0.8,1
18,1.02832551993212,2,9,2,103,"2;1","xZa2VxC5",100,5,4,0,0.8,1
19,0.813890650902844,2,8,2,111,"2;1","xZa2VxC5",100,5,4,0,0.8,1
20,0.5,2,3,2,114,"2;1","xZa2VxC5",100,5,4,0,0.8,1
21,0.79967296224138,2,1,2,115,"2;1","xZa2VxC5",100,5,4,0,0.8,1
22,0.840882319269148,1,-9,2,106,"2;1","xZa2VxC5",100,5,4,0,0.8,1
23,0.85946200876593,2,4,2,110,"2;1","xZa2VxC5",100,5,4,0,0.8,1
24,0.80819371969534,2,9,2,119,"2;1","xZa2VxC5",100,5,4,0,0.8,1
25,0.991487645101764,2,3,2,122,"2;1","xZa2VxC5",100,5,4,0,0.8,1
1,0.956236632190731,2,2,3,2,"1;2","xZa2VxC5",100,5,4,0,0.8,1
2,1.03044689418657,1,6,3,8,"1;2","xZa2VxC5",100,5,4,0,0.8,1
3,0.639895676047732,1,2,3,10,"1;2","xZa2VxC5",100,5,4,0,0.8,1
4,0.740622581219743,2,22,3,32,"1;2","xZa2VxC5",100,5,4,0,0.8,1
5,0.853980764615474,2,19,3,51,"1;2","xZa2VxC5",100,5,4,0,0.8,1
6,0.646912325876973,2,0,3,51,"1;2","xZa2VxC5",100,5,4,0,0.8,1
7,0.758558340753326,2,12,3,63,"1;2","xZa2VxC5",100,5,4,0,0.8,1
8,0.956302741628246,2,-7,3,56,"1;2","xZa2VxC5",100,5,4,0,0.8,1
9,0.695456698537637,2,-10,3,46,"1;2","xZa2VxC5",100,5,4,0,0.8,1
10,0.793743032575278,1,12,3,58,"1;2","xZa2VxC5",100,5,4,0,0.8,1
11,0.79051748487346,1,-2,3,56,"1;2","xZa2VxC5",100,5,4,0,0.8,1
12,0.895616039035836,2,1,3,57,"1;2","xZa2VxC5",100,5,4,0,0.8,1
13,0.868924158362537,1,1,3,58,"1;2","xZa2VxC5",100,5,4,0,0.8,1
14,0.588781538350505,1,1,3,59,"1;2","xZa2VxC5",100,5,4,0,0.8,1
15,0.719970771478153,1,5,3,64,"1;2","xZa2VxC5",100,5,4,0,0.8,1
16,0.712447362332883,1,2,3,66,"1;2","xZa2VxC5",100,5,4,0,0.8,1
17,0.506861396637367,2,7,3,73,"1;2","xZa2VxC5",100,5,4,0,0.8,1
18,0.755405091794486,1,9,3,82,"1;2","xZa2VxC5",100,5,4,0,0.8,1
19,0.625127689951305,1,6,3,88,"1;2","xZa2VxC5",100,5,4,0,0.8,1
20,0.600214227352755,1,4,3,92,"1;2","xZa2VxC5",100,5,4,0,0.8,1
21,0.892391704791768,1,9,3,101,"1;2","xZa2VxC5",100,5,4,0,0.8,1
22,0.605758425332006,1,4,3,105,"1;2","xZa2VxC5",100,5,4,0,0.8,1
23,1.02450019051975,1,-1,3,104,"1;2","xZa2VxC5",100,5,4,0,0.8,1
24,0.945123804086906,1,3,3,107,"1;2","xZa2VxC5",100,5,4,0,0.8,1
25,1.15509199465168,2,14,3,121,"1;2","xZa2VxC5",100,5,4,0,0.8,1
1,0.871813762725344,2,8,4,8,"2;1","xZa2VxC5",100,5,4,0,0.8,1
2,1.35208971894143,2,2,4,10,"2;1","xZa2VxC5",100,5,4,0,0.8,1
3,0.729393518455751,2,2,4,12,"2;1","xZa2VxC5",100,5,4,0,0.8,1
4,0.5,2,4,4,16,"2;1","xZa2VxC5",100,5,4,0,0.8,1
5,0.829263267256458,1,0,4,16,"2;1","xZa2VxC5",100,5,4,0,0.8,1
6,1.05438018174582,1,0,4,16,"2;1","xZa2VxC5",100,5,4,0,0.8,1
7,0.950675403820113,2,2,4,18,"2;1","xZa2VxC5",100,5,4,0,0.8,1
8,0.857787909202173,1,-23,4,-5,"2;1","xZa2VxC5",100,5,4,0,0.8,1
9,0.951495132888498,1,2,4,-3,"2;1","xZa2VxC5",100,5,4,0,0.8,1
10,0.737461935191813,1,9,4,6,"2;1","xZa2VxC5",100,5,4,0,0.8,1
11,0.844805114150914,1,-3,4,3,"2;1","xZa2VxC5",100,5,4,0,0.8,1
12,0.741123264934817,1,6,4,9,"2;1","xZa2VxC5",100,5,4,0,0.8,1
13,0.62183452206976,1,11,4,20,"2;1","xZa2VxC5",100,5,4,0,0.8,1
14,0.771404910418711,1,23,4,43,"2;1","xZa2VxC5",100,5,4,0,0.8,1
15,1.22938262396599,2,1,4,44,"2;1","xZa2VxC5",100,5,4,0,0.8,1
16,0.5,2,0,4,44,"2;1","xZa2VxC5",100,5,4,0,0.8,1
17,0.869533878609925,1,12,4,56,"2;1","xZa2VxC5",100,5,4,0,0.8,1
18,0.591111682782419,1,22,4,78,"2;1","xZa2VxC5",100,5,4,0,0.8,1
19,0.614022053112087,1,-13,4,65,"2;1","xZa2VxC5",100,5,4,0,0.8,1
20,0.986226888979078,1,18,4,83,"2;1","xZa2VxC5",100,5,4,0,0.8,1
21,0.5,1,-7,4,76,"2;1","xZa2VxC5",100,5,4,0,0.8,1
22,0.734788729639978,1,6,4,82,"2;1","xZa2VxC5",100,5,4,0,0.8,1
23,1.1416441063018,2,2,4,84,"2;1","xZa2VxC5",100,5,4,0,0.8,1
24,0.922301968832418,1,13,4,97,"2;1","xZa2VxC5",100,5,4,0,0.8,1
25,0.739815099611441,2,3,4,100,"2;1","xZa2VxC5",100,5,4,0,0.8,1
1,0.612892161088739,1,6,5,6,"1;2","xZa2VxC5",100,5,4,0,0.8,1
2,0.5,1,6,5,12,"1;2","xZa2VxC5",100,5,4,0,0.8,1
3,0.5,1,4,5,16,"1;2","xZa2VxC5",100,5,4,0,0.8,1
4,0.888688668961734,1,7,5,23,"1;2","xZa2VxC5",100,5,4,0,0.8,1
5,0.5,1,1,5,24,"1;2","xZa2VxC5",100,5,4,0,0.8,1
6,0.729123812264206,1,7,5,31,"1;2","xZa2VxC5",100,5,4,0,0.8,1
7,0.568171043648581,1,6,5,37,"1;2","xZa2VxC5",100,5,4,0,0.8,1
8,0.619955193947502,1,5,5,42,"1;2","xZa2VxC5",100,5,4,0,0.8,1
9,0.5,1,2,5,44,"1;2","xZa2VxC5",100,5,4,0,0.8,1
10,0.995383151297851,2,-8,5,36,"1;2","xZa2VxC5",100,5,4,0,0.8,1
11,0.5,1,3,5,39,"1;2","xZa2VxC5",100,5,4,0,0.8,1
12,0.5,1,-1,5,38,"1;2","xZa2VxC5",100,5,4,0,0.8,1
13,0.5,2,-27,5,11,"1;2","xZa2VxC5",100,5,4,0,0.8,1
14,1.03197950499052,2,-6,5,5,"1;2","xZa2VxC5",100,5,4,0,0.8,1
15,0.720178740953944,2,-15,5,-10,"1;2","xZa2VxC5",100,5,4,0,0.8,1
16,0.679623996956062,1,5,5,-5,"1;2","xZa2VxC5",100,5,4,0,0.8,1
17,0.746656794038221,1,9,5,4,"1;2","xZa2VxC5",100,5,4,0,0.8,1
18,0.979498780025294,2,3,5,7,"1;2","xZa2VxC5",100,5,4,0,0.8,1
19,0.603373247339342,2,-8,5,-1,"1;2","xZa2VxC5",100,5,4,0,0.8,1
20,0.552496639762752,2,11,5,10,"1;2","xZa2VxC5",100,5,4,0,0.8,1
21,0.78297963628296,2,16,5,26,"1;2","xZa2VxC5",100,5,4,0,0.8,1
22,0.98268326555876,2,19,5,45,"1;2","xZa2VxC5",100,5,4,0,0.8,1
23,0.880710858167684,2,-12,5,33,"1;2","xZa2VxC5",100,5,4,0,0.8,1
24,0.679485489123604,2,-11,5,22,"1;2","xZa2VxC5",100,5,4,0,0.8,1
25,0.924317059196137,2,-5,5,17,"1;2","xZa2VxC5",100,5,4,0,0.8,1
1,1.00974366782839,1,15,6,15,"2;1","xZa2VxC5",100,5,4,0,0.8,1
2,0.570322390245836,1,1,6,16,"2;1","xZa2VxC5",100,5,4,0,0.8,1
3,1.05208168460208,2,3,6,19,"2;1","xZa2VxC5",100,5,4,0,0.8,1
4,0.747052015682703,1,2,6,21,"2;1","xZa2VxC5",100,5,4,0,0.8,1
5,0.871957097253707,1,-14,6,7,"2;1","xZa2VxC5",100,5,4,0,0.8,1
