"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.14589769397074,1,4,1,4,"1;2","xlcRQn4h",100,6,3,0,0.6,3
2,0.640280869846942,1,3,1,7,"1;2","xlcRQn4h",100,6,3,0,0.6,3
3,0.520676469818711,1,3,1,10,"1;2","xlcRQn4h",100,6,3,0,0.6,3
4,0.676325483053874,1,2,1,12,"1;2","xlcRQn4h",100,6,3,0,0.6,3
5,0.5,2,3,1,15,"1;2","xlcRQn4h",100,6,3,0,0.6,3
6,0.575064782366948,1,0,1,15,"1;2","xlcRQn4h",100,6,3,0,0.6,3
7,0.5,1,3,1,18,"1;2","xlcRQn4h",100,6,3,0,0.6,3
8,0.77732674716712,2,0,1,18,"1;2","xlcRQn4h",100,6,3,0,0.6,3
9,1.01279024813552,1,3,1,21,"1;2","xlcRQn4h",100,6,3,0,0.6,3
10,1.13082997592452,1,3,1,24,"1;2","xlcRQn4h",100,6,3,0,0.6,3
11,1.07247220011804,1,-3,1,21,"1;2","xlcRQn4h",100,6,3,0,0.6,3
12,0.5,2,5,1,26,"1;2","xlcRQn4h",100,6,3,0,0.6,3
13,0.538816337204513,1,5,1,31,"1;2","xlcRQn4h",100,6,3,0,0.6,3
14,0.619917046663745,1,1,1,32,"1;2","xlcRQn4h",100,6,3,0,0.6,3
15,0.76012419789995,2,1,1,33,"1;2","xlcRQn4h",100,6,3,0,0.6,3
16,1.16781400038685,1,4,1,37,"1;2","xlcRQn4h",100,6,3,0,0.6,3
17,1.07537322209662,1,5,1,42,"1;2","xlcRQn4h",100,6,3,0,0.6,3
18,0.793274078779809,1,2,1,44,"1;2","xlcRQn4h",100,6,3,0,0.6,3
19,0.5,1,5,1,49,"1;2","xlcRQn4h",100,6,3,0,0.6,3
20,0.575687303567357,1,1,1,50,"1;2","xlcRQn4h",100,6,3,0,0.6,3
1,0.5,1,12,2,12,"2;1","xlcRQn4h",100,6,3,0,0.6,3
2,0.918596441806725,2,1,2,13,"2;1","xlcRQn4h",100,6,3,0,0.6,3
3,1.12764343300208,1,8,2,21,"2;1","xlcRQn4h",100,6,3,0,0.6,3
4,0.844114198327482,1,12,2,33,"2;1","xlcRQn4h",100,6,3,0,0.6,3
5,0.827232120106881,1,17,2,50,"2;1","xlcRQn4h",100,6,3,0,0.6,3
6,0.553201020806339,1,10,2,60,"2;1","xlcRQn4h",100,6,3,0,0.6,3
7,0.5,1,14,2,74,"2;1","xlcRQn4h",100,6,3,0,0.6,3
8,1.08935967410417,1,-6,2,68,"2;1","xlcRQn4h",100,6,3,0,0.6,3
9,0.5,1,1,2,69,"2;1","xlcRQn4h",100,6,3,0,0.6,3
10,0.744113886006552,1,4,2,73,"2;1","xlcRQn4h",100,6,3,0,0.6,3
11,0.680709388354922,1,1,2,74,"2;1","xlcRQn4h",100,6,3,0,0.6,3
12,0.733190284241409,1,12,2,86,"2;1","xlcRQn4h",100,6,3,0,0.6,3
13,0.802153250455816,2,3,2,89,"2;1","xlcRQn4h",100,6,3,0,0.6,3
14,1.09041132732209,1,-6,2,83,"2;1","xlcRQn4h",100,6,3,0,0.6,3
15,0.643363123476274,2,1,2,84,"2;1","xlcRQn4h",100,6,3,0,0.6,3
16,0.522783636530944,1,-22,2,62,"2;1","xlcRQn4h",100,6,3,0,0.6,3
17,0.801137751247105,1,4,2,66,"2;1","xlcRQn4h",100,6,3,0,0.6,3
18,0.619820056363808,1,1,2,67,"2;1","xlcRQn4h",100,6,3,0,0.6,3
19,0.891429728806912,1,13,2,80,"2;1","xlcRQn4h",100,6,3,0,0.6,3
20,1.28860430661402,2,3,2,83,"2;1","xlcRQn4h",100,6,3,0,0.6,3
21,0.510288124351918,2,7,2,90,"2;1","xlcRQn4h",100,6,3,0,0.6,3
22,0.917084421538593,1,-21,2,69,"2;1","xlcRQn4h",100,6,3,0,0.6,3
23,0.659560305488415,1,-3,2,66,"2;1","xlcRQn4h",100,6,3,0,0.6,3
24,0.852167034726011,1,6,2,72,"2;1","xlcRQn4h",100,6,3,0,0.6,3
25,1.17057416603133,1,-1,2,71,"2;1","xlcRQn4h",100,6,3,0,0.6,3
1,0.5,2,2,3,2,"2;1","xlcRQn4h",100,6,3,0,0.6,3
2,0.5,1,-1,3,1,"2;1","xlcRQn4h",100,6,3,0,0.6,3
3,1.30073362595694,2,1,3,2,"2;1","xlcRQn4h",100,6,3,0,0.6,3
4,0.988069765976541,1,19,3,21,"2;1","xlcRQn4h",100,6,3,0,0.6,3
5,1.02414357798019,2,5,3,26,"2;1","xlcRQn4h",100,6,3,0,0.6,3
6,0.920849720489233,1,6,3,32,"2;1","xlcRQn4h",100,6,3,0,0.6,3
7,0.833881157952494,2,2,3,34,"2;1","xlcRQn4h",100,6,3,0,0.6,3
8,1.01349951340225,1,-6,3,28,"2;1","xlcRQn4h",100,6,3,0,0.6,3
9,0.63320297180146,1,-9,3,19,"2;1","xlcRQn4h",100,6,3,0,0.6,3
10,1.07017769311035,2,1,3,20,"2;1","xlcRQn4h",100,6,3,0,0.6,3
11,0.750701002474502,1,-10,3,10,"2;1","xlcRQn4h",100,6,3,0,0.6,3
12,1.27833964408604,2,1,3,11,"2;1","xlcRQn4h",100,6,3,0,0.6,3
13,0.962475255382647,1,7,3,18,"2;1","xlcRQn4h",100,6,3,0,0.6,3
14,0.887837132588829,1,-17,3,1,"2;1","xlcRQn4h",100,6,3,0,0.6,3
15,0.772412571665349,2,3,3,4,"2;1","xlcRQn4h",100,6,3,0,0.6,3
16,0.87362537544938,1,13,3,17,"2;1","xlcRQn4h",100,6,3,0,0.6,3
17,0.520496415244373,1,7,3,24,"2;1","xlcRQn4h",100,6,3,0,0.6,3
18,0.894232026699129,1,1,3,25,"2;1","xlcRQn4h",100,6,3,0,0.6,3
19,1.40447499347332,1,16,3,41,"2;1","xlcRQn4h",100,6,3,0,0.6,3
20,0.671148599272147,2,2,3,43,"2;1","xlcRQn4h",100,6,3,0,0.6,3
21,0.5,1,27,3,70,"2;1","xlcRQn4h",100,6,3,0,0.6,3
22,0.709624356502949,2,-2,3,68,"2;1","xlcRQn4h",100,6,3,0,0.6,3
23,0.593369321349116,1,-8,3,60,"2;1","xlcRQn4h",100,6,3,0,0.6,3
24,0.624991462312564,2,7,3,67,"2;1","xlcRQn4h",100,6,3,0,0.6,3
25,0.806747032344567,1,-8,3,59,"2;1","xlcRQn4h",100,6,3,0,0.6,3
1,0.604582720380843,2,5,4,5,"2;1","xlcRQn4h",100,6,3,0,0.6,3
2,1.01526563764503,2,5,4,10,"2;1","xlcRQn4h",100,6,3,0,0.6,3
3,0.724547550050821,2,2,4,12,"2;1","xlcRQn4h",100,6,3,0,0.6,3
4,0.657997119300722,1,18,4,30,"2;1","xlcRQn4h",100,6,3,0,0.6,3
5,0.585497163517711,2,2,4,32,"2;1","xlcRQn4h",100,6,3,0,0.6,3
6,0.790194429579569,1,2,4,34,"2;1","xlcRQn4h",100,6,3,0,0.6,3
7,0.867073172138315,1,0,4,34,"2;1","xlcRQn4h",100,6,3,0,0.6,3
8,0.62271824472365,1,-12,4,22,"2;1","xlcRQn4h",100,6,3,0,0.6,3
9,0.915690986394902,2,5,4,27,"2;1","xlcRQn4h",100,6,3,0,0.6,3
10,0.714117828830271,2,0,4,27,"2;1","xlcRQn4h",100,6,3,0,0.6,3
11,0.936298403831,1,0,4,27,"2;1","xlcRQn4h",100,6,3,0,0.6,3
12,1.14627795481823,1,-16,4,11,"2;1","xlcRQn4h",100,6,3,0,0.6,3
13,0.760431745637336,1,11,4,22,"2;1","xlcRQn4h",100,6,3,0,0.6,3
14,1.00245813234503,2,-2,4,20,"2;1","xlcRQn4h",100,6,3,0,0.6,3
15,0.71151621913919,1,-4,4,16,"2;1","xlcRQn4h",100,6,3,0,0.6,3
16,1.05036466283054,1,20,4,36,"2;1","xlcRQn4h",100,6,3,0,0.6,3
