"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.852884023268216,2,3,1,3,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
2,0.796771072231253,2,3,1,6,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
3,0.734144349995387,2,4,1,10,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
4,0.5,2,5,1,15,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
5,0.95170373539143,2,4,1,19,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
6,0.907925878697508,2,4,1,23,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
7,0.984821642924524,2,4,1,27,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
8,0.694037622988948,2,5,1,32,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
9,0.753960226729267,2,4,1,36,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
10,1.15838427554074,2,5,1,41,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
11,0.869584317397708,2,2,1,43,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
12,0.751217340154527,2,1,1,44,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
13,0.845076456607009,2,6,1,50,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
14,0.971024102021145,2,3,1,53,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
15,0.5,2,-1,1,52,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
16,0.5,2,4,1,56,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
17,1.06085617885446,2,4,1,60,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
18,0.69787472442381,2,5,1,65,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
19,0.704342238913034,2,5,1,70,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
20,1.01718414897812,2,4,1,74,"1;2","y2Yj4wha",0,1,NA,0,1.12,3
1,0.898820833415315,1,0,2,0,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
2,1.05148787759911,2,4,2,4,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
3,0.867408725047526,2,3,2,7,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
4,0.941000296982131,2,6,2,13,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
5,0.564011149653739,2,2,2,15,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
6,0.810246399851369,2,5,2,20,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
7,1.13621703692371,2,1,2,21,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
8,0.537767698636797,2,7,2,28,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
9,0.861851471547186,2,7,2,35,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
10,0.741501208286327,2,3,2,38,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
11,0.824372817767531,2,0,2,38,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
12,0.900049535360189,2,7,2,45,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
13,1.02080019105867,2,4,2,49,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
14,1.07963515359339,1,-2,2,47,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
15,0.711688150010223,2,1,2,48,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
16,0.5,2,3,2,51,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
17,0.892843638736611,2,6,2,57,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
18,0.5,2,4,2,61,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
19,0.5,2,0,2,61,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
20,0.508987602411382,2,2,2,63,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
21,0.849623004032616,2,3,2,66,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
22,0.649212456809787,2,1,2,67,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
23,0.591176470115786,2,2,2,69,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
24,1.48812239214013,2,7,2,76,"2;1","y2Yj4wha",0,1,NA,0,1.12,3
