"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,5,1,5,"2;1","yKRwkZcI",100,6,4,0,0.8,1
2,0.512764439822787,1,2,1,7,"2;1","yKRwkZcI",100,6,4,0,0.8,1
3,0.776243475697622,1,5,1,12,"2;1","yKRwkZcI",100,6,4,0,0.8,1
4,0.882974525116538,1,4,1,16,"2;1","yKRwkZcI",100,6,4,0,0.8,1
5,0.862241275041365,1,6,1,22,"2;1","yKRwkZcI",100,6,4,0,0.8,1
6,0.891395185996404,2,4,1,26,"2;1","yKRwkZcI",100,6,4,0,0.8,1
7,1.02634040132728,1,0,1,26,"2;1","yKRwkZcI",100,6,4,0,0.8,1
8,0.863042317434412,1,2,1,28,"2;1","yKRwkZcI",100,6,4,0,0.8,1
9,0.822893959374913,1,2,1,30,"2;1","yKRwkZcI",100,6,4,0,0.8,1
10,1.10981497789797,2,5,1,35,"2;1","yKRwkZcI",100,6,4,0,0.8,1
11,1.0610400406593,1,1,1,36,"2;1","yKRwkZcI",100,6,4,0,0.8,1
12,1.04202868181731,2,3,1,39,"2;1","yKRwkZcI",100,6,4,0,0.8,1
13,0.636573403972077,1,4,1,43,"2;1","yKRwkZcI",100,6,4,0,0.8,1
14,0.578677476541474,1,3,1,46,"2;1","yKRwkZcI",100,6,4,0,0.8,1
15,0.910978526724531,2,4,1,50,"2;1","yKRwkZcI",100,6,4,0,0.8,1
16,0.949054365013303,2,2,1,52,"2;1","yKRwkZcI",100,6,4,0,0.8,1
17,1.19219961425008,2,1,1,53,"2;1","yKRwkZcI",100,6,4,0,0.8,1
18,1.20542439437201,1,5,1,58,"2;1","yKRwkZcI",100,6,4,0,0.8,1
19,1.03297231273205,2,2,1,60,"2;1","yKRwkZcI",100,6,4,0,0.8,1
20,1.20022651030225,2,1,1,61,"2;1","yKRwkZcI",100,6,4,0,0.8,1
1,0.696028160514213,2,1,2,1,"2;1","yKRwkZcI",100,6,4,0,0.8,1
2,0.912784977623664,2,1,2,2,"2;1","yKRwkZcI",100,6,4,0,0.8,1
3,0.681900292062995,1,11,2,13,"2;1","yKRwkZcI",100,6,4,0,0.8,1
4,0.618869214754671,1,13,2,26,"2;1","yKRwkZcI",100,6,4,0,0.8,1
5,0.841609478253578,1,-7,2,19,"2;1","yKRwkZcI",100,6,4,0,0.8,1
6,0.5,2,5,2,24,"2;1","yKRwkZcI",100,6,4,0,0.8,1
7,0.995179133691527,1,-1,2,23,"2;1","yKRwkZcI",100,6,4,0,0.8,1
8,1.14883402241529,1,14,2,37,"2;1","yKRwkZcI",100,6,4,0,0.8,1
9,0.801028194244425,2,5,2,42,"2;1","yKRwkZcI",100,6,4,0,0.8,1
10,0.791458247638302,2,1,2,43,"2;1","yKRwkZcI",100,6,4,0,0.8,1
11,0.714706807371328,1,13,2,56,"2;1","yKRwkZcI",100,6,4,0,0.8,1
12,0.856510010044226,2,5,2,61,"2;1","yKRwkZcI",100,6,4,0,0.8,1
13,0.685335560993225,2,4,2,65,"2;1","yKRwkZcI",100,6,4,0,0.8,1
14,1.06777382828413,2,1,2,66,"2;1","yKRwkZcI",100,6,4,0,0.8,1
15,1.19982225335785,2,0,2,66,"2;1","yKRwkZcI",100,6,4,0,0.8,1
16,0.827572216366511,2,4,2,70,"2;1","yKRwkZcI",100,6,4,0,0.8,1
17,1.16333814353132,1,-27,2,43,"2;1","yKRwkZcI",100,6,4,0,0.8,1
18,0.5,2,6,2,49,"2;1","yKRwkZcI",100,6,4,0,0.8,1
19,1.05709428728548,2,5,2,54,"2;1","yKRwkZcI",100,6,4,0,0.8,1
20,0.822792521765089,2,6,2,60,"2;1","yKRwkZcI",100,6,4,0,0.8,1
21,1.04768311257987,1,-18,2,42,"2;1","yKRwkZcI",100,6,4,0,0.8,1
22,0.508982677201972,1,3,2,45,"2;1","yKRwkZcI",100,6,4,0,0.8,1
23,0.888113165704715,2,0,2,45,"2;1","yKRwkZcI",100,6,4,0,0.8,1
24,0.529759382069008,2,3,2,48,"2;1","yKRwkZcI",100,6,4,0,0.8,1
25,0.673377324569157,1,8,2,56,"2;1","yKRwkZcI",100,6,4,0,0.8,1
1,1.02444952170392,2,-1,3,-1,"2;1","yKRwkZcI",100,6,4,0,0.8,1
2,0.941205133982783,2,3,3,2,"2;1","yKRwkZcI",100,6,4,0,0.8,1
3,0.943559341836943,1,14,3,16,"2;1","yKRwkZcI",100,6,4,0,0.8,1
4,0.504086368864878,1,-1,3,15,"2;1","yKRwkZcI",100,6,4,0,0.8,1
5,0.74003869661954,1,10,3,25,"2;1","yKRwkZcI",100,6,4,0,0.8,1
6,1.32847051514739,1,11,3,36,"2;1","yKRwkZcI",100,6,4,0,0.8,1
7,0.684300603962281,2,4,3,40,"2;1","yKRwkZcI",100,6,4,0,0.8,1
8,1.10159206260646,1,2,3,42,"2;1","yKRwkZcI",100,6,4,0,0.8,1
9,0.523518494726752,2,3,3,45,"2;1","yKRwkZcI",100,6,4,0,0.8,1
10,1.01520030986403,2,4,3,49,"2;1","yKRwkZcI",100,6,4,0,0.8,1
11,0.849330735446679,2,2,3,51,"2;1","yKRwkZcI",100,6,4,0,0.8,1
12,0.655017633668369,1,7,3,58,"2;1","yKRwkZcI",100,6,4,0,0.8,1
13,0.706920844636722,1,-4,3,54,"2;1","yKRwkZcI",100,6,4,0,0.8,1
14,0.761445192054907,1,20,3,74,"2;1","yKRwkZcI",100,6,4,0,0.8,1
15,1.18507499150798,2,5,3,79,"2;1","yKRwkZcI",100,6,4,0,0.8,1
16,0.580796248485551,1,15,3,94,"2;1","yKRwkZcI",100,6,4,0,0.8,1
17,1.32583611151215,2,3,3,97,"2;1","yKRwkZcI",100,6,4,0,0.8,1
18,0.750537351377038,1,30,3,127,"2;1","yKRwkZcI",100,6,4,0,0.8,1
19,0.538939031269565,1,16,3,143,"2;1","yKRwkZcI",100,6,4,0,0.8,1
20,0.708221656972189,2,7,3,150,"2;1","yKRwkZcI",100,6,4,0,0.8,1
21,0.865395900744369,2,-2,3,148,"2;1","yKRwkZcI",100,6,4,0,0.8,1
22,0.732439609532849,1,-8,3,140,"2;1","yKRwkZcI",100,6,4,0,0.8,1
23,0.739571697452821,1,17,3,157,"2;1","yKRwkZcI",100,6,4,0,0.8,1
24,0.994966488518792,1,21,3,178,"2;1","yKRwkZcI",100,6,4,0,0.8,1
25,0.977200905046922,1,2,3,180,"2;1","yKRwkZcI",100,6,4,0,0.8,1
1,0.5,2,3,4,3,"2;1","yKRwkZcI",100,6,4,0,0.8,1
2,0.519631222954369,1,9,4,12,"2;1","yKRwkZcI",100,6,4,0,0.8,1
3,0.501276966373179,2,1,4,13,"2;1","yKRwkZcI",100,6,4,0,0.8,1
