"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.88114557803401,1,4,1,4,"2;1","ymuzJPCS",100,5,4,0,0.8,2
2,1.09385746153434,1,2,1,6,"2;1","ymuzJPCS",100,5,4,0,0.8,2
3,1.26354108771937,2,4,1,10,"2;1","ymuzJPCS",100,5,4,0,0.8,2
4,0.86310083396903,2,4,1,14,"2;1","ymuzJPCS",100,5,4,0,0.8,2
5,0.914098355713014,2,2,1,16,"2;1","ymuzJPCS",100,5,4,0,0.8,2
6,0.553775640125662,2,1,1,17,"2;1","ymuzJPCS",100,5,4,0,0.8,2
7,0.98547250709007,1,5,1,22,"2;1","ymuzJPCS",100,5,4,0,0.8,2
8,1.05198619530895,1,3,1,25,"2;1","ymuzJPCS",100,5,4,0,0.8,2
9,1.19057008613255,1,0,1,25,"2;1","ymuzJPCS",100,5,4,0,0.8,2
10,0.928810488886193,1,2,1,27,"2;1","ymuzJPCS",100,5,4,0,0.8,2
11,0.59114767729474,2,-1,1,26,"2;1","ymuzJPCS",100,5,4,0,0.8,2
12,0.925095594240511,1,6,1,32,"2;1","ymuzJPCS",100,5,4,0,0.8,2
13,1.00438490874749,2,4,1,36,"2;1","ymuzJPCS",100,5,4,0,0.8,2
14,0.595353506885237,1,6,1,42,"2;1","ymuzJPCS",100,5,4,0,0.8,2
15,0.784535318978669,2,4,1,46,"2;1","ymuzJPCS",100,5,4,0,0.8,2
16,0.973215748268843,2,4,1,50,"2;1","ymuzJPCS",100,5,4,0,0.8,2
17,0.814804855159324,1,4,1,54,"2;1","ymuzJPCS",100,5,4,0,0.8,2
18,1.06773368627267,2,0,1,54,"2;1","ymuzJPCS",100,5,4,0,0.8,2
19,0.5,2,2,1,56,"2;1","ymuzJPCS",100,5,4,0,0.8,2
20,0.5,2,5,1,61,"2;1","ymuzJPCS",100,5,4,0,0.8,2
1,0.664344880611621,1,4,2,4,"1;2","ymuzJPCS",100,5,4,0,0.8,2
2,1.02699397871291,2,-2,2,2,"1;2","ymuzJPCS",100,5,4,0,0.8,2
3,0.640060753821427,2,13,2,15,"1;2","ymuzJPCS",100,5,4,0,0.8,2
4,0.80695635927774,2,29,2,44,"1;2","ymuzJPCS",100,5,4,0,0.8,2
5,0.781609838737576,2,-9,2,35,"1;2","ymuzJPCS",100,5,4,0,0.8,2
6,1.08165505212465,2,6,2,41,"1;2","ymuzJPCS",100,5,4,0,0.8,2
7,0.61131562494529,1,6,2,47,"1;2","ymuzJPCS",100,5,4,0,0.8,2
8,0.827582705042182,1,2,2,49,"1;2","ymuzJPCS",100,5,4,0,0.8,2
9,0.926713700578468,2,15,2,64,"1;2","ymuzJPCS",100,5,4,0,0.8,2
10,0.76821337002652,2,14,2,78,"1;2","ymuzJPCS",100,5,4,0,0.8,2
11,0.540336941869467,2,-3,2,75,"1;2","ymuzJPCS",100,5,4,0,0.8,2
12,0.662901423678781,2,-7,2,68,"1;2","ymuzJPCS",100,5,4,0,0.8,2
13,0.749457972810764,2,-2,2,66,"1;2","ymuzJPCS",100,5,4,0,0.8,2
14,0.867322756156458,2,12,2,78,"1;2","ymuzJPCS",100,5,4,0,0.8,2
15,0.662563038481215,2,-5,2,73,"1;2","ymuzJPCS",100,5,4,0,0.8,2
16,0.921408122625961,2,0,2,73,"1;2","ymuzJPCS",100,5,4,0,0.8,2
17,0.80849936789314,2,9,2,82,"1;2","ymuzJPCS",100,5,4,0,0.8,2
18,0.609260310556628,2,13,2,95,"1;2","ymuzJPCS",100,5,4,0,0.8,2
19,0.911720058980116,1,1,2,96,"1;2","ymuzJPCS",100,5,4,0,0.8,2
20,0.603533354369581,2,20,2,116,"1;2","ymuzJPCS",100,5,4,0,0.8,2
21,0.569668147494482,1,2,2,118,"1;2","ymuzJPCS",100,5,4,0,0.8,2
22,0.5,1,7,2,125,"1;2","ymuzJPCS",100,5,4,0,0.8,2
23,1.08374282821215,1,2,2,127,"1;2","ymuzJPCS",100,5,4,0,0.8,2
24,0.990112895888601,2,0,2,127,"1;2","ymuzJPCS",100,5,4,0,0.8,2
25,0.855977654772672,2,11,2,138,"1;2","ymuzJPCS",100,5,4,0,0.8,2
1,0.839217836110858,1,12,3,12,"2;1","ymuzJPCS",100,5,4,0,0.8,2
2,0.678673389627464,1,-8,3,4,"2;1","ymuzJPCS",100,5,4,0,0.8,2
3,0.548288985178252,1,-4,3,0,"2;1","ymuzJPCS",100,5,4,0,0.8,2
4,0.74127345198612,1,-12,3,-12,"2;1","ymuzJPCS",100,5,4,0,0.8,2
5,0.829933098750594,1,12,3,0,"2;1","ymuzJPCS",100,5,4,0,0.8,2
6,0.745631504062975,1,-10,3,-10,"2;1","ymuzJPCS",100,5,4,0,0.8,2
7,0.634886001205703,1,2,3,-8,"2;1","ymuzJPCS",100,5,4,0,0.8,2
8,0.802216930526656,2,3,3,-5,"2;1","ymuzJPCS",100,5,4,0,0.8,2
9,1.07279998752187,1,19,3,14,"2;1","ymuzJPCS",100,5,4,0,0.8,2
10,1.0110090128035,1,15,3,29,"2;1","ymuzJPCS",100,5,4,0,0.8,2
11,1.08772478015257,1,16,3,45,"2;1","ymuzJPCS",100,5,4,0,0.8,2
12,0.671932742907083,1,6,3,51,"2;1","ymuzJPCS",100,5,4,0,0.8,2
13,0.960924257576805,1,16,3,67,"2;1","ymuzJPCS",100,5,4,0,0.8,2
14,0.910751350318033,1,11,3,78,"2;1","ymuzJPCS",100,5,4,0,0.8,2
15,0.83627289164858,1,-15,3,63,"2;1","ymuzJPCS",100,5,4,0,0.8,2
16,1.16785946986525,1,1,3,64,"2;1","ymuzJPCS",100,5,4,0,0.8,2
17,1.31436925929742,1,0,3,64,"2;1","ymuzJPCS",100,5,4,0,0.8,2
18,0.85703145800588,1,5,3,69,"2;1","ymuzJPCS",100,5,4,0,0.8,2
19,0.638354663067401,1,-7,3,62,"2;1","ymuzJPCS",100,5,4,0,0.8,2
20,0.534190958895681,1,24,3,86,"2;1","ymuzJPCS",100,5,4,0,0.8,2
21,0.765935665437509,1,17,3,103,"2;1","ymuzJPCS",100,5,4,0,0.8,2
22,0.719734247504003,1,17,3,120,"2;1","ymuzJPCS",100,5,4,0,0.8,2
23,0.501146877533731,2,5,3,125,"2;1","ymuzJPCS",100,5,4,0,0.8,2
24,0.748013489565831,1,6,3,131,"2;1","ymuzJPCS",100,5,4,0,0.8,2
25,0.808713657463168,2,-2,3,129,"2;1","ymuzJPCS",100,5,4,0,0.8,2
1,0.759055450538118,1,6,4,6,"2;1","ymuzJPCS",100,5,4,0,0.8,2
2,0.863716426949769,1,3,4,9,"2;1","ymuzJPCS",100,5,4,0,0.8,2
3,0.595266922067755,2,3,4,12,"2;1","ymuzJPCS",100,5,4,0,0.8,2
4,1.09056583593629,1,-6,4,6,"2;1","ymuzJPCS",100,5,4,0,0.8,2
5,0.5,1,2,4,8,"2;1","ymuzJPCS",100,5,4,0,0.8,2
6,0.93392062782522,1,-11,4,-3,"2;1","ymuzJPCS",100,5,4,0,0.8,2
7,0.543059078895763,1,9,4,6,"2;1","ymuzJPCS",100,5,4,0,0.8,2
8,1.034812976055,2,6,4,12,"2;1","ymuzJPCS",100,5,4,0,0.8,2
9,1.00223951374099,2,2,4,14,"2;1","ymuzJPCS",100,5,4,0,0.8,2
10,0.953582279120952,1,-3,4,11,"2;1","ymuzJPCS",100,5,4,0,0.8,2
11,0.921962134373021,1,-3,4,8,"2;1","ymuzJPCS",100,5,4,0,0.8,2
12,0.88919463487382,1,14,4,22,"2;1","ymuzJPCS",100,5,4,0,0.8,2
13,0.5,2,5,4,27,"2;1","ymuzJPCS",100,5,4,0,0.8,2
14,0.5,1,11,4,38,"2;1","ymuzJPCS",100,5,4,0,0.8,2
15,1.44780596681948,1,-9,4,29,"2;1","ymuzJPCS",100,5,4,0,0.8,2
16,0.535289704189258,1,9,4,38,"2;1","ymuzJPCS",100,5,4,0,0.8,2
17,0.5,1,23,4,61,"2;1","ymuzJPCS",100,5,4,0,0.8,2
18,0.5,1,4,4,65,"2;1","ymuzJPCS",100,5,4,0,0.8,2
19,0.5,1,-8,4,57,"2;1","ymuzJPCS",100,5,4,0,0.8,2
20,0.5,1,-6,4,51,"2;1","ymuzJPCS",100,5,4,0,0.8,2
21,0.5,1,-10,4,41,"2;1","ymuzJPCS",100,5,4,0,0.8,2
22,0.946688302455962,1,22,4,63,"2;1","ymuzJPCS",100,5,4,0,0.8,2
23,0.773196578237763,2,7,4,70,"2;1","ymuzJPCS",100,5,4,0,0.8,2
24,0.87152331169279,1,17,4,87,"2;1","ymuzJPCS",100,5,4,0,0.8,2
25,1.04060988568029,1,13,4,100,"2;1","ymuzJPCS",100,5,4,0,0.8,2
1,0.548544656305964,1,4,5,4,"1;2","ymuzJPCS",100,5,4,0,0.8,2
2,0.792923026352132,1,6,5,10,"1;2","ymuzJPCS",100,5,4,0,0.8,2
3,1.04631272214544,1,4,5,14,"1;2","ymuzJPCS",100,5,4,0,0.8,2
4,0.64124975818938,1,3,5,17,"1;2","ymuzJPCS",100,5,4,0,0.8,2
5,0.825504550716485,1,6,5,23,"1;2","ymuzJPCS",100,5,4,0,0.8,2
6,0.88622549057603,1,7,5,30,"1;2","ymuzJPCS",100,5,4,0,0.8,2
7,0.712458319486227,1,5,5,35,"1;2","ymuzJPCS",100,5,4,0,0.8,2
8,0.885505481399411,1,2,5,37,"1;2","ymuzJPCS",100,5,4,0,0.8,2
9,1.16607936284555,1,3,5,40,"1;2","ymuzJPCS",100,5,4,0,0.8,2
10,0.992822593107434,2,15,5,55,"1;2","ymuzJPCS",100,5,4,0,0.8,2
11,0.69476276547383,2,-7,5,48,"1;2","ymuzJPCS",100,5,4,0,0.8,2
12,0.776044188234858,2,-17,5,31,"1;2","ymuzJPCS",100,5,4,0,0.8,2
13,0.753815300707985,2,5,5,36,"1;2","ymuzJPCS",100,5,4,0,0.8,2
14,0.613694787911814,1,1,5,37,"1;2","ymuzJPCS",100,5,4,0,0.8,2
15,0.725506143076848,2,7,5,44,"1;2","ymuzJPCS",100,5,4,0,0.8,2
16,0.940894876169615,1,8,5,52,"1;2","ymuzJPCS",100,5,4,0,0.8,2
17,0.528049185770208,2,13,5,65,"1;2","ymuzJPCS",100,5,4,0,0.8,2
