"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.812957152827648,2,2,1,2,"1;2","zG5L7ALW",100,5,1,0,0.2,2
2,1.10449122956075,2,7,1,9,"1;2","zG5L7ALW",100,5,1,0,0.2,2
3,0.574124250223482,2,1,1,10,"1;2","zG5L7ALW",100,5,1,0,0.2,2
4,0.85175601430107,2,5,1,15,"1;2","zG5L7ALW",100,5,1,0,0.2,2
5,0.5,2,0,1,15,"1;2","zG5L7ALW",100,5,1,0,0.2,2
6,0.808154787775167,2,2,1,17,"1;2","zG5L7ALW",100,5,1,0,0.2,2
7,0.883406081215153,2,3,1,20,"1;2","zG5L7ALW",100,5,1,0,0.2,2
8,0.745944719887409,2,1,1,21,"1;2","zG5L7ALW",100,5,1,0,0.2,2
9,1.05603316489917,2,4,1,25,"1;2","zG5L7ALW",100,5,1,0,0.2,2
10,0.822270396559596,2,1,1,26,"1;2","zG5L7ALW",100,5,1,0,0.2,2
11,0.764942416301827,2,7,1,33,"1;2","zG5L7ALW",100,5,1,0,0.2,2
12,0.5,2,5,1,38,"1;2","zG5L7ALW",100,5,1,0,0.2,2
13,0.925316145998517,2,5,1,43,"1;2","zG5L7ALW",100,5,1,0,0.2,2
14,0.744280261427314,2,3,1,46,"1;2","zG5L7ALW",100,5,1,0,0.2,2
15,0.55564114253136,2,5,1,51,"1;2","zG5L7ALW",100,5,1,0,0.2,2
16,0.828814475611441,2,4,1,55,"1;2","zG5L7ALW",100,5,1,0,0.2,2
17,1.15424479373415,2,3,1,58,"1;2","zG5L7ALW",100,5,1,0,0.2,2
18,0.824100708759967,2,-2,1,56,"1;2","zG5L7ALW",100,5,1,0,0.2,2
19,0.807969878992135,2,1,1,57,"1;2","zG5L7ALW",100,5,1,0,0.2,2
20,0.872464252520912,2,3,1,60,"1;2","zG5L7ALW",100,5,1,0,0.2,2
1,0.626198702136681,1,8,2,8,"2;1","zG5L7ALW",100,5,1,0,0.2,2
2,0.911649208903837,1,8,2,16,"2;1","zG5L7ALW",100,5,1,0,0.2,2
3,0.833639660041285,1,-2,2,14,"2;1","zG5L7ALW",100,5,1,0,0.2,2
4,1.15280325418366,1,9,2,23,"2;1","zG5L7ALW",100,5,1,0,0.2,2
5,0.762237049111639,1,2,2,25,"2;1","zG5L7ALW",100,5,1,0,0.2,2
6,0.793113339935904,1,-4,2,21,"2;1","zG5L7ALW",100,5,1,0,0.2,2
7,1.03258897616269,1,7,2,28,"2;1","zG5L7ALW",100,5,1,0,0.2,2
8,0.987818625504449,1,0,2,28,"2;1","zG5L7ALW",100,5,1,0,0.2,2
9,1.1000832354011,1,-1,2,27,"2;1","zG5L7ALW",100,5,1,0,0.2,2
10,0.798146812783768,1,-5,2,22,"2;1","zG5L7ALW",100,5,1,0,0.2,2
11,0.91304048723368,2,7,2,29,"2;1","zG5L7ALW",100,5,1,0,0.2,2
12,0.849584335306379,2,4,2,33,"2;1","zG5L7ALW",100,5,1,0,0.2,2
13,0.628780475649303,2,4,2,37,"2;1","zG5L7ALW",100,5,1,0,0.2,2
14,0.761483267159475,2,4,2,41,"2;1","zG5L7ALW",100,5,1,0,0.2,2
15,1.07808576564591,1,2,2,43,"2;1","zG5L7ALW",100,5,1,0,0.2,2
16,1.34611898327031,2,3,2,46,"2;1","zG5L7ALW",100,5,1,0,0.2,2
17,0.5,2,6,2,52,"2;1","zG5L7ALW",100,5,1,0,0.2,2
18,0.692643434073524,2,7,2,59,"2;1","zG5L7ALW",100,5,1,0,0.2,2
19,0.960772938788408,2,8,2,67,"2;1","zG5L7ALW",100,5,1,0,0.2,2
20,1.05325268814465,2,6,2,73,"2;1","zG5L7ALW",100,5,1,0,0.2,2
21,0.750393755898149,2,4,2,77,"2;1","zG5L7ALW",100,5,1,0,0.2,2
22,0.880566981638083,2,0,2,77,"2;1","zG5L7ALW",100,5,1,0,0.2,2
23,0.901188047699696,2,7,2,84,"2;1","zG5L7ALW",100,5,1,0,0.2,2
24,0.550314173568845,2,3,2,87,"2;1","zG5L7ALW",100,5,1,0,0.2,2
25,1.07001684866527,2,0,2,87,"2;1","zG5L7ALW",100,5,1,0,0.2,2
1,0.873182330808702,1,5,3,5,"1;2","zG5L7ALW",100,5,1,0,0.2,2
2,0.5,1,7,3,12,"1;2","zG5L7ALW",100,5,1,0,0.2,2
3,0.740167850475378,1,2,3,14,"1;2","zG5L7ALW",100,5,1,0,0.2,2
4,1.08382632617796,1,1,3,15,"1;2","zG5L7ALW",100,5,1,0,0.2,2
5,1.11816418946221,1,4,3,19,"1;2","zG5L7ALW",100,5,1,0,0.2,2
6,0.890924253253791,1,-1,3,18,"1;2","zG5L7ALW",100,5,1,0,0.2,2
7,0.759832353623701,2,-4,3,14,"1;2","zG5L7ALW",100,5,1,0,0.2,2
8,0.919820495248161,1,6,3,20,"1;2","zG5L7ALW",100,5,1,0,0.2,2
9,0.842659380426583,2,3,3,23,"1;2","zG5L7ALW",100,5,1,0,0.2,2
10,0.5,1,4,3,27,"1;2","zG5L7ALW",100,5,1,0,0.2,2
11,0.872230871038068,1,1,3,28,"1;2","zG5L7ALW",100,5,1,0,0.2,2
12,0.537433431483955,1,6,3,34,"1;2","zG5L7ALW",100,5,1,0,0.2,2
13,0.95496646223069,1,3,3,37,"1;2","zG5L7ALW",100,5,1,0,0.2,2
14,0.804395078084477,1,7,3,44,"1;2","zG5L7ALW",100,5,1,0,0.2,2
15,1.0946730987867,1,2,3,46,"1;2","zG5L7ALW",100,5,1,0,0.2,2
16,0.985192293577033,2,6,3,52,"1;2","zG5L7ALW",100,5,1,0,0.2,2
17,0.960799649973671,1,6,3,58,"1;2","zG5L7ALW",100,5,1,0,0.2,2
18,1.20873895261179,1,5,3,63,"1;2","zG5L7ALW",100,5,1,0,0.2,2
19,0.93393307885627,1,4,3,67,"1;2","zG5L7ALW",100,5,1,0,0.2,2
20,0.642015093276485,1,3,3,70,"1;2","zG5L7ALW",100,5,1,0,0.2,2
21,0.767381954798694,1,7,3,77,"1;2","zG5L7ALW",100,5,1,0,0.2,2
22,0.5,1,5,3,82,"1;2","zG5L7ALW",100,5,1,0,0.2,2
23,0.825417967793391,1,1,3,83,"1;2","zG5L7ALW",100,5,1,0,0.2,2
24,0.822175351642365,1,2,3,85,"1;2","zG5L7ALW",100,5,1,0,0.2,2
25,0.686746063180456,1,8,3,93,"1;2","zG5L7ALW",100,5,1,0,0.2,2
1,0.697531139495554,2,1,4,1,"1;2","zG5L7ALW",100,5,1,0,0.2,2
2,0.522783518974381,2,-18,4,-17,"1;2","zG5L7ALW",100,5,1,0,0.2,2
3,0.9885420289434,2,1,4,-16,"1;2","zG5L7ALW",100,5,1,0,0.2,2
4,0.68186947284656,1,4,4,-12,"1;2","zG5L7ALW",100,5,1,0,0.2,2
5,0.94604676453885,1,2,4,-10,"1;2","zG5L7ALW",100,5,1,0,0.2,2
6,0.522375757053104,1,5,4,-5,"1;2","zG5L7ALW",100,5,1,0,0.2,2
7,0.654135386928181,1,2,4,-3,"1;2","zG5L7ALW",100,5,1,0,0.2,2
8,1.10351489273535,1,4,4,1,"1;2","zG5L7ALW",100,5,1,0,0.2,2
9,1.04584761757671,1,3,4,4,"1;2","zG5L7ALW",100,5,1,0,0.2,2
10,0.522791891802694,1,7,4,11,"1;2","zG5L7ALW",100,5,1,0,0.2,2
11,0.711894646869741,1,8,4,19,"1;2","zG5L7ALW",100,5,1,0,0.2,2
12,1.01195580438281,2,1,4,20,"1;2","zG5L7ALW",100,5,1,0,0.2,2
13,0.862348240036981,1,7,4,27,"1;2","zG5L7ALW",100,5,1,0,0.2,2
14,0.607882890151538,1,3,4,30,"1;2","zG5L7ALW",100,5,1,0,0.2,2
15,0.926115641801856,1,6,4,36,"1;2","zG5L7ALW",100,5,1,0,0.2,2
16,0.642850198405945,1,1,4,37,"1;2","zG5L7ALW",100,5,1,0,0.2,2
17,0.797697409128938,1,8,4,45,"1;2","zG5L7ALW",100,5,1,0,0.2,2
18,0.640263699658636,1,3,4,48,"1;2","zG5L7ALW",100,5,1,0,0.2,2
19,0.630654069434136,1,9,4,57,"1;2","zG5L7ALW",100,5,1,0,0.2,2
20,0.65890824664209,2,0,4,57,"1;2","zG5L7ALW",100,5,1,0,0.2,2
21,0.569061636131509,1,2,4,59,"1;2","zG5L7ALW",100,5,1,0,0.2,2
22,0.660842717013408,1,6,4,65,"1;2","zG5L7ALW",100,5,1,0,0.2,2
23,1.07581736908555,1,4,4,69,"1;2","zG5L7ALW",100,5,1,0,0.2,2
