"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.557679857177449,1,6,1,6,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
2,0.755098704664023,2,2,1,8,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
3,1.03995571169993,2,6,1,14,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
4,0.738607520991761,1,3,1,17,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
5,0.797636313407167,2,2,1,19,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
6,0.824986700219971,2,3,1,22,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
7,1.05362303418803,2,4,1,26,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
8,0.654406455532506,2,2,1,28,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
9,0.657205247905062,2,3,1,31,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
10,0.530764201653567,2,5,1,36,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
11,1.15257948127995,2,3,1,39,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
12,0.927084986800695,2,6,1,45,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
13,1.14700058124945,2,1,1,46,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
14,1.04693313613318,1,3,1,49,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
15,1.02050848157494,2,5,1,54,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
16,1.02764291514856,2,3,1,57,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
17,0.760754473947241,2,6,1,63,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
18,0.889687404528205,2,1,1,64,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
19,0.563709459909377,1,3,1,67,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
20,0.810372910086313,1,5,1,72,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
1,0.915230174068783,2,6,2,6,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
2,0.85255647097355,2,5,2,11,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
3,0.893096250842159,1,28,2,39,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
4,1.15792981286956,1,12,2,51,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
5,0.693495256830461,1,-5,2,46,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
6,1.10790579233399,2,3,2,49,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
7,1.06668547505709,1,8,2,57,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
8,1.28276865216616,1,-17,2,40,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
9,0.735444731216283,2,6,2,46,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
10,0.5,2,2,2,48,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
11,0.84033414217442,2,2,2,50,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
12,0.998956779396764,2,5,2,55,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
13,0.925189572974835,1,3,2,58,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
14,0.958389662692042,2,5,2,63,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
15,0.611328017642844,1,4,2,67,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
16,1.11498723608461,2,3,2,70,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
17,1.22640676943668,2,6,2,76,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
18,1.2198818505995,2,6,2,82,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
19,1.03006285711731,1,-11,2,71,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
20,0.710323431124789,2,0,2,71,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
21,1.10938390226434,1,17,2,88,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
22,1.18956100360301,1,2,2,90,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
23,0.5,1,-1,2,89,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
24,0.698839060487825,2,5,2,94,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
25,0.712601374820161,1,-1,2,93,"2;1","ziw5GSRo",0,2,NA,0,0.71,3
1,0.574592601214682,1,1,3,1,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
2,0.856410552098565,2,-1,3,0,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
3,0.555854257441,2,10,3,10,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
4,0.75709777068774,2,12,3,22,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
5,1.03168963113134,2,-9,3,13,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
6,0.941250520188508,1,3,3,16,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
7,1.25404264458138,2,-7,3,9,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
8,0.552274202861479,1,5,3,14,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
9,0.710001040908636,2,0,3,14,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
10,0.846784473145606,2,12,3,26,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
11,1.00607918074424,2,-15,3,11,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
12,0.58700820078581,1,1,3,12,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
13,1.14371618617999,2,-26,3,-14,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
14,0.919199747809346,1,5,3,-9,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
15,0.638944769304703,1,3,3,-6,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
16,0.914377875260662,2,-8,3,-14,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
17,0.649417296752377,1,2,3,-12,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
18,0.947891691919481,2,-12,3,-24,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
19,0.798631980821152,1,2,3,-22,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
20,0.915803299067582,1,5,3,-17,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
21,0.898848270772471,2,16,3,-1,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
22,0.545812054650792,2,3,3,2,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
23,0.5,2,11,3,13,"1;2","ziw5GSRo",0,2,NA,0,0.71,3
