"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.535686268548536,2,5,1,5,"1;2","zjLUkvP1",100,5,7,1,1.4,2
2,0.694684704922109,2,3,1,8,"1;2","zjLUkvP1",100,5,7,1,1.4,2
3,0.5,2,4,1,12,"1;2","zjLUkvP1",100,5,7,1,1.4,2
4,0.798832503542632,2,1,1,13,"1;2","zjLUkvP1",100,5,7,1,1.4,2
5,0.773977490948243,2,3,1,16,"1;2","zjLUkvP1",100,5,7,1,1.4,2
6,0.842868705916307,1,2,1,18,"1;2","zjLUkvP1",100,5,7,1,1.4,2
7,0.80062831088677,2,3,1,21,"1;2","zjLUkvP1",100,5,7,1,1.4,2
8,0.673944040326103,2,2,1,23,"1;2","zjLUkvP1",100,5,7,1,1.4,2
9,0.5,2,0,1,23,"1;2","zjLUkvP1",100,5,7,1,1.4,2
10,0.602435640924776,2,4,1,27,"1;2","zjLUkvP1",100,5,7,1,1.4,2
11,0.5,2,4,1,31,"1;2","zjLUkvP1",100,5,7,1,1.4,2
12,1.06474033528908,2,3,1,34,"1;2","zjLUkvP1",100,5,7,1,1.4,2
13,0.557039255229326,2,6,1,40,"1;2","zjLUkvP1",100,5,7,1,1.4,2
14,0.599336331489495,2,0,1,40,"1;2","zjLUkvP1",100,5,7,1,1.4,2
15,0.571097645472057,1,1,1,41,"1;2","zjLUkvP1",100,5,7,1,1.4,2
16,1.02042053074772,1,3,1,44,"1;2","zjLUkvP1",100,5,7,1,1.4,2
17,0.7563696232588,2,5,1,49,"1;2","zjLUkvP1",100,5,7,1,1.4,2
18,0.5,2,2,1,51,"1;2","zjLUkvP1",100,5,7,1,1.4,2
19,1.16990438083484,2,2,1,53,"1;2","zjLUkvP1",100,5,7,1,1.4,2
20,0.857347015865914,2,6,1,59,"1;2","zjLUkvP1",100,5,7,1,1.4,2
1,0.994272667660693,2,24,2,24,"1;2","zjLUkvP1",100,5,7,1,1.4,2
2,1.08230899766401,1,3,2,27,"1;2","zjLUkvP1",100,5,7,1,1.4,2
3,0.609811680501536,2,-1,2,26,"1;2","zjLUkvP1",100,5,7,1,1.4,2
4,0.5,1,0,2,26,"1;2","zjLUkvP1",100,5,7,1,1.4,2
5,0.749445353758133,2,11,2,37,"1;2","zjLUkvP1",100,5,7,1,1.4,2
6,1.13465583698239,2,4,2,41,"1;2","zjLUkvP1",100,5,7,1,1.4,2
7,1.16333236768101,2,-9,2,32,"1;2","zjLUkvP1",100,5,7,1,1.4,2
8,0.54152263755684,1,6,2,38,"1;2","zjLUkvP1",100,5,7,1,1.4,2
9,0.650304550808813,1,4,2,42,"1;2","zjLUkvP1",100,5,7,1,1.4,2
10,0.626583691503037,2,9,2,51,"1;2","zjLUkvP1",100,5,7,1,1.4,2
11,1.168862247338,2,27,2,78,"1;2","zjLUkvP1",100,5,7,1,1.4,2
12,1.17721493549322,1,9,2,87,"1;2","zjLUkvP1",100,5,7,1,1.4,2
13,0.93736673400572,1,6,2,93,"1;2","zjLUkvP1",100,5,7,1,1.4,2
14,0.5,2,-2,2,91,"1;2","zjLUkvP1",100,5,7,1,1.4,2
15,1.00194846306234,2,28,2,119,"1;2","zjLUkvP1",100,5,7,1,1.4,2
16,0.668119392727544,2,4,2,123,"1;2","zjLUkvP1",100,5,7,1,1.4,2
17,0.901138924937512,2,-1,2,122,"1;2","zjLUkvP1",100,5,7,1,1.4,2
18,1.10879739003205,1,4,2,126,"1;2","zjLUkvP1",100,5,7,1,1.4,2
19,0.814673603721549,2,9,2,135,"1;2","zjLUkvP1",100,5,7,1,1.4,2
20,0.541555284193652,2,-4,2,131,"1;2","zjLUkvP1",100,5,7,1,1.4,2
21,0.855675515872882,2,24,2,155,"1;2","zjLUkvP1",100,5,7,1,1.4,2
22,0.980595761762551,2,18,2,173,"1;2","zjLUkvP1",100,5,7,1,1.4,2
23,0.5,1,9,2,182,"1;2","zjLUkvP1",100,5,7,1,1.4,2
24,0.5,2,27,2,209,"1;2","zjLUkvP1",100,5,7,1,1.4,2
25,1.2990926269589,1,5,2,214,"1;2","zjLUkvP1",100,5,7,1,1.4,2
1,0.786933205184576,2,3,3,3,"2;1","zjLUkvP1",100,5,7,1,1.4,2
2,0.817216298743676,2,8,3,11,"2;1","zjLUkvP1",100,5,7,1,1.4,2
3,0.926543333892765,2,4,3,15,"2;1","zjLUkvP1",100,5,7,1,1.4,2
4,0.747097788127893,2,5,3,20,"2;1","zjLUkvP1",100,5,7,1,1.4,2
5,0.880597124629426,1,1,3,21,"2;1","zjLUkvP1",100,5,7,1,1.4,2
6,0.746152676654361,2,7,3,28,"2;1","zjLUkvP1",100,5,7,1,1.4,2
7,1.16769914410913,1,6,3,34,"2;1","zjLUkvP1",100,5,7,1,1.4,2
8,1.20716525863789,2,5,3,39,"2;1","zjLUkvP1",100,5,7,1,1.4,2
9,0.863242962555115,2,4,3,43,"2;1","zjLUkvP1",100,5,7,1,1.4,2
10,1.14094910061988,2,4,3,47,"2;1","zjLUkvP1",100,5,7,1,1.4,2
11,0.5,2,7,3,54,"2;1","zjLUkvP1",100,5,7,1,1.4,2
12,1.3504880188018,2,3,3,57,"2;1","zjLUkvP1",100,5,7,1,1.4,2
13,1.00825047158862,1,8,3,65,"2;1","zjLUkvP1",100,5,7,1,1.4,2
14,0.836989076670869,2,3,3,68,"2;1","zjLUkvP1",100,5,7,1,1.4,2
15,0.86498395898947,1,-11,3,57,"2;1","zjLUkvP1",100,5,7,1,1.4,2
16,0.52832495450043,2,-2,3,55,"2;1","zjLUkvP1",100,5,7,1,1.4,2
17,1.33681250265596,2,7,3,62,"2;1","zjLUkvP1",100,5,7,1,1.4,2
18,0.608737662670535,2,2,3,64,"2;1","zjLUkvP1",100,5,7,1,1.4,2
19,0.82774138199162,1,5,3,69,"2;1","zjLUkvP1",100,5,7,1,1.4,2
20,0.600803259754799,2,0,3,69,"2;1","zjLUkvP1",100,5,7,1,1.4,2
21,0.898370573067106,2,4,3,73,"2;1","zjLUkvP1",100,5,7,1,1.4,2
22,1.07529031587612,2,4,3,77,"2;1","zjLUkvP1",100,5,7,1,1.4,2
23,1.15701173224644,2,6,3,83,"2;1","zjLUkvP1",100,5,7,1,1.4,2
24,0.659979329452785,2,4,3,87,"2;1","zjLUkvP1",100,5,7,1,1.4,2
25,1.07789174823453,2,3,3,90,"2;1","zjLUkvP1",100,5,7,1,1.4,2
1,0.564919121757062,2,2,4,2,"1;2","zjLUkvP1",100,5,7,1,1.4,2
2,0.531645999933459,2,7,4,9,"1;2","zjLUkvP1",100,5,7,1,1.4,2
3,0.510707339588479,2,-5,4,4,"1;2","zjLUkvP1",100,5,7,1,1.4,2
4,1.03731349451939,1,0,4,4,"1;2","zjLUkvP1",100,5,7,1,1.4,2
5,0.753670471118327,2,15,4,19,"1;2","zjLUkvP1",100,5,7,1,1.4,2
6,0.563287355460453,2,-6,4,13,"1;2","zjLUkvP1",100,5,7,1,1.4,2
7,0.590505788970161,1,3,4,16,"1;2","zjLUkvP1",100,5,7,1,1.4,2
8,0.593250061428301,2,23,4,39,"1;2","zjLUkvP1",100,5,7,1,1.4,2
9,0.731906225036237,2,1,4,40,"1;2","zjLUkvP1",100,5,7,1,1.4,2
10,0.523998772734444,2,2,4,42,"1;2","zjLUkvP1",100,5,7,1,1.4,2
11,0.841646664487581,2,7,4,49,"1;2","zjLUkvP1",100,5,7,1,1.4,2
12,0.920786369701995,2,0,4,49,"1;2","zjLUkvP1",100,5,7,1,1.4,2
13,0.550624802517467,2,8,4,57,"1;2","zjLUkvP1",100,5,7,1,1.4,2
14,0.984390425412986,2,12,4,69,"1;2","zjLUkvP1",100,5,7,1,1.4,2
15,0.5,2,4,4,73,"1;2","zjLUkvP1",100,5,7,1,1.4,2
16,0.889874324722911,2,16,4,89,"1;2","zjLUkvP1",100,5,7,1,1.4,2
17,1.08125536259413,2,-11,4,78,"1;2","zjLUkvP1",100,5,7,1,1.4,2
18,0.993654209635789,1,5,4,83,"1;2","zjLUkvP1",100,5,7,1,1.4,2
19,0.710183936912594,1,6,4,89,"1;2","zjLUkvP1",100,5,7,1,1.4,2
20,0.734667471404874,2,-6,4,83,"1;2","zjLUkvP1",100,5,7,1,1.4,2
21,0.635158797773288,1,1,4,84,"1;2","zjLUkvP1",100,5,7,1,1.4,2
22,1.06963654930479,1,7,4,91,"1;2","zjLUkvP1",100,5,7,1,1.4,2
23,0.763153579369148,1,3,4,94,"1;2","zjLUkvP1",100,5,7,1,1.4,2
24,0.768418321895168,1,-2,4,92,"1;2","zjLUkvP1",100,5,7,1,1.4,2
