"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.0732135957245,2,2,1,2,"2;1","zsBkPkXF",100,5,1,1,0.2,2
2,0.5,2,3,1,5,"2;1","zsBkPkXF",100,5,1,1,0.2,2
3,0.997391424817051,2,4,1,9,"2;1","zsBkPkXF",100,5,1,1,0.2,2
4,0.944275377825845,2,3,1,12,"2;1","zsBkPkXF",100,5,1,1,0.2,2
5,0.5,1,3,1,15,"2;1","zsBkPkXF",100,5,1,1,0.2,2
6,0.866534769835787,2,3,1,18,"2;1","zsBkPkXF",100,5,1,1,0.2,2
7,1.13391303001902,2,3,1,21,"2;1","zsBkPkXF",100,5,1,1,0.2,2
8,0.853242343253452,2,2,1,23,"2;1","zsBkPkXF",100,5,1,1,0.2,2
9,0.896348231774544,2,3,1,26,"2;1","zsBkPkXF",100,5,1,1,0.2,2
10,0.90390176178643,2,4,1,30,"2;1","zsBkPkXF",100,5,1,1,0.2,2
11,0.849131236575906,2,4,1,34,"2;1","zsBkPkXF",100,5,1,1,0.2,2
12,0.5,2,4,1,38,"2;1","zsBkPkXF",100,5,1,1,0.2,2
13,0.524945989314,2,5,1,43,"2;1","zsBkPkXF",100,5,1,1,0.2,2
14,0.5,2,-1,1,42,"2;1","zsBkPkXF",100,5,1,1,0.2,2
15,0.547625058992604,2,6,1,48,"2;1","zsBkPkXF",100,5,1,1,0.2,2
16,0.582930248659163,2,3,1,51,"2;1","zsBkPkXF",100,5,1,1,0.2,2
17,1.00717978203616,2,0,1,51,"2;1","zsBkPkXF",100,5,1,1,0.2,2
18,0.64225527439745,2,5,1,56,"2;1","zsBkPkXF",100,5,1,1,0.2,2
19,0.890252858933618,2,2,1,58,"2;1","zsBkPkXF",100,5,1,1,0.2,2
20,0.5,2,3,1,61,"2;1","zsBkPkXF",100,5,1,1,0.2,2
1,0.5,1,1,2,1,"1;2","zsBkPkXF",100,5,1,1,0.2,2
2,0.839686791656345,1,5,2,6,"1;2","zsBkPkXF",100,5,1,1,0.2,2
3,0.812686159865215,1,1,2,7,"1;2","zsBkPkXF",100,5,1,1,0.2,2
