"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.997203252700649,1,5,1,5,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
2,0.580925159879741,2,-1,1,4,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
3,1.05150043230542,2,6,1,10,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
4,0.767622414534381,1,1,1,11,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
5,0.979304013525106,2,2,1,13,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
6,0.666476063018711,2,5,1,18,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
7,0.693360979029808,2,6,1,24,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
8,0.5,1,6,1,30,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
9,1.003583445683,2,2,1,32,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
10,1.17783845775777,2,-2,1,30,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
11,0.506918836404694,2,1,1,31,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
12,0.881989343094262,1,-4,1,27,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
13,0.699764565706231,1,5,1,32,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
14,0.626540185187544,2,4,1,36,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
15,0.843390766869307,1,2,1,38,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
16,1.05841532312958,2,0,1,38,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
17,0.77973749779432,1,0,1,38,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
18,1.19165020896505,2,1,1,39,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
19,0.95718760255953,2,5,1,44,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
20,0.737688902506135,1,4,1,48,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
1,1.21981719912459,2,1,2,1,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
2,0.630296857044826,1,-14,2,-13,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
3,1.03937517488504,2,0,2,-13,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
4,0.876505799070831,2,1,2,-12,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
5,0.828062148324514,2,2,2,-10,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
6,0.715407343703668,2,1,2,-9,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
7,1.19370542241416,2,2,2,-7,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
8,1.09410610733753,2,5,2,-2,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
9,0.575215148932873,2,5,2,3,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
10,0.84894773508718,1,12,2,15,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
11,0.673642395017116,2,1,2,16,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
12,0.788107484190516,1,29,2,45,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
13,0.589614235191718,1,-4,2,41,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
14,0.852924807860092,1,5,2,46,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
15,1.10606765362755,1,17,2,63,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
16,0.5,1,14,2,77,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
17,1.34362453652045,1,12,2,89,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
18,0.616902055912673,1,4,2,93,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
19,0.6923818631498,1,6,2,99,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
20,1.22573342207439,2,1,2,100,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
21,1.06290898955329,1,1,2,101,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
22,0.5,1,9,2,110,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
23,0.859864343304974,2,5,2,115,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
24,0.829232276380879,1,10,2,125,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
25,0.72493868341497,1,2,2,127,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
1,0.769683499170387,2,13,3,13,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
2,0.55316814481353,2,1,3,14,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
3,0.521066673116534,2,-9,3,5,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
4,0.638330992387492,1,-1,3,4,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
5,0.871125403847718,2,14,3,18,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
6,0.914701290346576,2,16,3,34,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
7,0.573352982710111,2,3,3,37,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
8,0.922994564251424,1,5,3,42,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
9,0.5,2,37,3,79,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
10,0.760617363503082,1,-2,3,77,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
11,0.936452231707754,2,18,3,95,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
12,0.5,2,-1,3,94,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
13,1.11420949914951,2,10,3,104,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
14,0.599800895598806,2,17,3,121,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
15,0.707150629749409,2,3,3,124,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
16,0.985975540720036,1,0,3,124,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
17,0.795376300715503,2,4,3,128,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
18,0.868228899303794,2,5,3,133,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
19,0.646853022211894,2,13,3,146,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
20,1.18151785316082,2,9,3,155,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
21,0.736092853428743,2,-4,3,151,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
22,1.2516249127571,1,1,3,152,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
23,0.5,2,4,3,156,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
24,0.591517155796258,2,11,3,167,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
25,0.699111603447063,2,3,3,170,"1;2","zsbDXVnZ",0,3,NA,0,0.78,3
1,1.07971924610462,2,-2,4,-2,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
2,0.5,1,5,4,3,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
3,0.763351077511548,2,4,4,7,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
4,0.640298070934654,1,25,4,32,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
5,0.863963150268857,1,6,4,38,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
6,0.5,1,-1,4,37,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
7,0.952837445870458,1,-13,4,24,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
8,0.965477917694569,2,3,4,27,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
9,0.772078959060637,2,2,4,29,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
10,0.79824432385223,2,1,4,30,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
11,1.01541469541439,2,1,4,31,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
12,1.17656689944176,2,4,4,35,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
13,0.525254115416009,2,-4,4,31,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
14,0.5,2,2,4,33,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
15,1.0368090015409,1,4,4,37,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
16,0.802464443775618,1,4,4,41,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
17,0.5,1,-11,4,30,"2;1","zsbDXVnZ",0,3,NA,0,0.78,3
