"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"	"n.goals.reached"	"checkFails"	"payout"	"which.high.ev"
1	1.03742843819978	1	5	1	5	"1;2"	"id_167"	0	2	NA	3	0.8	3
2	0.825998365552357	2	3	1	8	"1;2"	"id_167"	0	2	NA	3	0.8	3
3	0.818852507026713	1	3	1	11	"1;2"	"id_167"	0	2	NA	3	0.8	3
4	0.5	1	1	1	12	"1;2"	"id_167"	0	2	NA	3	0.8	3
5	1.08621972834565	1	5	1	17	"1;2"	"id_167"	0	2	NA	3	0.8	3
6	0.52758853001324	1	1	1	18	"1;2"	"id_167"	0	2	NA	3	0.8	3
7	0.5	1	1	1	19	"1;2"	"id_167"	0	2	NA	3	0.8	3
8	0.558328652295179	2	3	1	22	"1;2"	"id_167"	0	2	NA	3	0.8	3
9	0.618434181841792	2	0	1	22	"1;2"	"id_167"	0	2	NA	3	0.8	3
10	1.15535041678877	1	3	1	25	"1;2"	"id_167"	0	2	NA	3	0.8	3
11	0.839388404085773	1	3	1	28	"1;2"	"id_167"	0	2	NA	3	0.8	3
12	0.5	2	2	1	30	"1;2"	"id_167"	0	2	NA	3	0.8	3
13	0.772739931824899	1	1	1	31	"1;2"	"id_167"	0	2	NA	3	0.8	3
14	1.21214557364761	1	1	1	32	"1;2"	"id_167"	0	2	NA	3	0.8	3
15	1.31969151020178	2	1	1	33	"1;2"	"id_167"	0	2	NA	3	0.8	3
16	0.5	2	0	1	33	"1;2"	"id_167"	0	2	NA	3	0.8	3
17	0.881514738977625	2	2	1	35	"1;2"	"id_167"	0	2	NA	3	0.8	3
18	1.0280318119242	1	5	1	40	"1;2"	"id_167"	0	2	NA	3	0.8	3
19	1.23051244678642	2	3	1	43	"1;2"	"id_167"	0	2	NA	3	0.8	3
20	0.877649947794226	2	3	1	46	"1;2"	"id_167"	0	2	NA	3	0.8	3
1	0.861425287866936	2	9	2	9	"1;2"	"id_167"	0	2	NA	3	0.8	3
2	1.26365630133218	2	19	2	28	"1;2"	"id_167"	0	2	NA	3	0.8	3
3	0.5	2	-1	2	27	"1;2"	"id_167"	0	2	NA	3	0.8	3
4	0.826549560922328	1	6	2	33	"1;2"	"id_167"	0	2	NA	3	0.8	3
5	0.706657316966237	1	6	2	39	"1;2"	"id_167"	0	2	NA	3	0.8	3
6	1.13582809038844	1	5	2	44	"1;2"	"id_167"	0	2	NA	3	0.8	3
7	0.669082410106228	2	3	2	47	"1;2"	"id_167"	0	2	NA	3	0.8	3
8	1.03228481085097	2	-6	2	41	"1;2"	"id_167"	0	2	NA	3	0.8	3
9	0.837242505032653	2	23	2	64	"1;2"	"id_167"	0	2	NA	3	0.8	3
10	0.596640191396666	1	-1	2	63	"1;2"	"id_167"	0	2	NA	3	0.8	3
11	0.90214683093494	2	16	2	79	"1;2"	"id_167"	0	2	NA	3	0.8	3
12	1.14675653765112	2	23	2	102	"1;2"	"id_167"	0	2	NA	3	0.8	3
13	0.795177695323015	1	4	2	106	"1;2"	"id_167"	0	2	NA	3	0.8	3
14	0.93866399830937	2	9	2	115	"1;2"	"id_167"	0	2	NA	3	0.8	3
15	0.873746395451601	1	5	2	120	"1;2"	"id_167"	0	2	NA	3	0.8	3
16	0.581608659242017	1	8	2	128	"1;2"	"id_167"	0	2	NA	3	0.8	3
17	1.18233106666392	1	5	2	133	"1;2"	"id_167"	0	2	NA	3	0.8	3
18	1.3521744797568	2	3	2	136	"1;2"	"id_167"	0	2	NA	3	0.8	3
19	0.70927434507106	1	3	2	139	"1;2"	"id_167"	0	2	NA	3	0.8	3
20	0.599274165754944	2	0	2	139	"1;2"	"id_167"	0	2	NA	3	0.8	3
21	0.65752557413301	1	5	2	144	"1;2"	"id_167"	0	2	NA	3	0.8	3
22	0.819357278940412	1	6	2	150	"1;2"	"id_167"	0	2	NA	3	0.8	3
23	0.594805918981792	2	-10	2	140	"1;2"	"id_167"	0	2	NA	3	0.8	3
