"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"	"n.goals.reached"	"checkFails"	"payout"	"which.high.ev"
1	1.01005652674716	2	2	1	2	"1;2"	"id_063"	100	4	8	0	1.6	2
2	0.78992438559193	2	7	1	9	"1;2"	"id_063"	100	4	8	0	1.6	2
3	0.749778978910242	2	1	1	10	"1;2"	"id_063"	100	4	8	0	1.6	2
4	0.5	2	2	1	12	"1;2"	"id_063"	100	4	8	0	1.6	2
5	0.837535777166399	2	4	1	16	"1;2"	"id_063"	100	4	8	0	1.6	2
6	0.5	2	2	1	18	"1;2"	"id_063"	100	4	8	0	1.6	2
7	0.989002536058376	2	1	1	19	"1;2"	"id_063"	100	4	8	0	1.6	2
8	0.5	2	2	1	21	"1;2"	"id_063"	100	4	8	0	1.6	2
9	0.718727808976924	2	4	1	25	"1;2"	"id_063"	100	4	8	0	1.6	2
10	0.718097640277035	1	6	1	31	"1;2"	"id_063"	100	4	8	0	1.6	2
11	0.793715816715188	2	5	1	36	"1;2"	"id_063"	100	4	8	0	1.6	2
12	0.661904725878495	1	3	1	39	"1;2"	"id_063"	100	4	8	0	1.6	2
13	0.754647843458803	2	5	1	44	"1;2"	"id_063"	100	4	8	0	1.6	2
14	0.761090042515426	2	3	1	47	"1;2"	"id_063"	100	4	8	0	1.6	2
15	1.0979001597656	1	9	1	56	"1;2"	"id_063"	100	4	8	0	1.6	2
16	0.5	1	3	1	59	"1;2"	"id_063"	100	4	8	0	1.6	2
17	0.83887545927734	1	1	1	60	"1;2"	"id_063"	100	4	8	0	1.6	2
18	0.842128027150328	1	4	1	64	"1;2"	"id_063"	100	4	8	0	1.6	2
19	0.678434418087918	2	2	1	66	"1;2"	"id_063"	100	4	8	0	1.6	2
20	0.814425509618927	1	0	1	66	"1;2"	"id_063"	100	4	8	0	1.6	2
1	0.5	2	-6	2	-6	"1;2"	"id_063"	100	4	8	0	1.6	2
2	0.596806664796382	1	-1	2	-7	"1;2"	"id_063"	100	4	8	0	1.6	2
3	0.803793293746684	2	-11	2	-18	"1;2"	"id_063"	100	4	8	0	1.6	2
4	0.694623028795246	1	1	2	-17	"1;2"	"id_063"	100	4	8	0	1.6	2
5	1.05983529885754	1	9	2	-8	"1;2"	"id_063"	100	4	8	0	1.6	2
6	0.897506909442035	1	1	2	-7	"1;2"	"id_063"	100	4	8	0	1.6	2
7	0.745913086952652	1	2	2	-5	"1;2"	"id_063"	100	4	8	0	1.6	2
8	0.505872914948318	1	4	2	-1	"1;2"	"id_063"	100	4	8	0	1.6	2
9	1.08244665045572	1	9	2	8	"1;2"	"id_063"	100	4	8	0	1.6	2
10	1.56410366331585	1	3	2	11	"1;2"	"id_063"	100	4	8	0	1.6	2
11	1.16749719395505	1	5	2	16	"1;2"	"id_063"	100	4	8	0	1.6	2
12	0.5	1	4	2	20	"1;2"	"id_063"	100	4	8	0	1.6	2
13	1.13181193824291	1	1	2	21	"1;2"	"id_063"	100	4	8	0	1.6	2
14	0.67614678674994	2	-7	2	14	"1;2"	"id_063"	100	4	8	0	1.6	2
15	0.768469783992302	1	3	2	17	"1;2"	"id_063"	100	4	8	0	1.6	2
16	0.945215305772999	1	0	2	17	"1;2"	"id_063"	100	4	8	0	1.6	2
17	0.547626360829068	2	17	2	34	"1;2"	"id_063"	100	4	8	0	1.6	2
18	0.877050553287124	2	-15	2	19	"1;2"	"id_063"	100	4	8	0	1.6	2
19	0.5	1	6	2	25	"1;2"	"id_063"	100	4	8	0	1.6	2
20	0.723384110416611	2	10	2	35	"1;2"	"id_063"	100	4	8	0	1.6	2
21	0.605462928058623	2	-4	2	31	"1;2"	"id_063"	100	4	8	0	1.6	2
22	0.5	2	12	2	43	"1;2"	"id_063"	100	4	8	0	1.6	2
23	0.797545165906136	2	9	2	52	"1;2"	"id_063"	100	4	8	0	1.6	2
24	0.951049633678446	1	2	2	54	"1;2"	"id_063"	100	4	8	0	1.6	2
25	0.5	1	4	2	58	"1;2"	"id_063"	100	4	8	0	1.6	2
1	0.5	2	11	3	11	"1;2"	"id_063"	100	4	8	0	1.6	2
2	0.828788421275684	1	-2	3	9	"1;2"	"id_063"	100	4	8	0	1.6	2
3	1.13218401369025	1	3	3	12	"1;2"	"id_063"	100	4	8	0	1.6	2
4	0.938659869356764	2	13	3	25	"1;2"	"id_063"	100	4	8	0	1.6	2
5	0.5	2	19	3	44	"1;2"	"id_063"	100	4	8	0	1.6	2
6	0.936418034512516	2	-8	3	36	"1;2"	"id_063"	100	4	8	0	1.6	2
7	0.862284574603743	2	-14	3	22	"1;2"	"id_063"	100	4	8	0	1.6	2
8	0.889579358855831	2	1	3	23	"1;2"	"id_063"	100	4	8	0	1.6	2
9	0.5	2	9	3	32	"1;2"	"id_063"	100	4	8	0	1.6	2
10	1.01704747460503	2	-5	3	27	"1;2"	"id_063"	100	4	8	0	1.6	2
11	0.748651447764259	1	5	3	32	"1;2"	"id_063"	100	4	8	0	1.6	2
12	0.5	2	13	3	45	"1;2"	"id_063"	100	4	8	0	1.6	2
13	0.670440273224415	2	20	3	65	"1;2"	"id_063"	100	4	8	0	1.6	2
14	0.854688089679284	2	-8	3	57	"1;2"	"id_063"	100	4	8	0	1.6	2
15	0.790313762562455	2	8	3	65	"1;2"	"id_063"	100	4	8	0	1.6	2
16	0.5	2	15	3	80	"1;2"	"id_063"	100	4	8	0	1.6	2
17	1.36813372868307	2	-10	3	70	"1;2"	"id_063"	100	4	8	0	1.6	2
18	1.07352830773321	2	-16	3	54	"1;2"	"id_063"	100	4	8	0	1.6	2
19	0.5	1	4	3	58	"1;2"	"id_063"	100	4	8	0	1.6	2
20	0.74302438612212	2	15	3	73	"1;2"	"id_063"	100	4	8	0	1.6	2
21	0.875017322516995	1	3	3	76	"1;2"	"id_063"	100	4	8	0	1.6	2
22	0.779206624251955	2	0	3	76	"1;2"	"id_063"	100	4	8	0	1.6	2
23	0.988932625321905	1	5	3	81	"1;2"	"id_063"	100	4	8	0	1.6	2
24	0.5	2	24	3	105	"1;2"	"id_063"	100	4	8	0	1.6	2
25	0.5	1	2	3	107	"1;2"	"id_063"	100	4	8	0	1.6	2
1	0.898382623208704	2	2	4	2	"2;1"	"id_063"	100	4	8	0	1.6	2
2	0.53521105528242	1	-9	4	-7	"2;1"	"id_063"	100	4	8	0	1.6	2
3	0.5	2	5	4	-2	"2;1"	"id_063"	100	4	8	0	1.6	2
4	0.557593343080211	2	7	4	5	"2;1"	"id_063"	100	4	8	0	1.6	2
5	0.649998304910021	2	3	4	8	"2;1"	"id_063"	100	4	8	0	1.6	2
6	0.738261351480985	1	2	4	10	"2;1"	"id_063"	100	4	8	0	1.6	2
7	0.5	2	6	4	16	"2;1"	"id_063"	100	4	8	0	1.6	2
8	0.742105237313974	1	-11	4	5	"2;1"	"id_063"	100	4	8	0	1.6	2
9	0.949039161558315	1	-7	4	-2	"2;1"	"id_063"	100	4	8	0	1.6	2
10	0.51708121049826	1	13	4	11	"2;1"	"id_063"	100	4	8	0	1.6	2
11	0.5	1	-16	4	-5	"2;1"	"id_063"	100	4	8	0	1.6	2
12	0.902569199225044	1	-13	4	-18	"2;1"	"id_063"	100	4	8	0	1.6	2
13	0.831573538056498	2	5	4	-13	"2;1"	"id_063"	100	4	8	0	1.6	2
14	0.670785942201297	1	-6	4	-19	"2;1"	"id_063"	100	4	8	0	1.6	2
